S.No. ,Name ,CMP Rs. ,MyAvgIV ,IV Rs. ,Mar Cap Rs.Cr. ,EV Rs.Cr. ,Sales Rs.Cr. ,NP 12M Rs.Cr. ,P/E ,5Yrs PE ,EPS 12M Rs. ,PEG ,CMP / BV ,CMP / OCF ,CMP / Sales ,EV / EBITDA ,OPM % ,Debt / Eq ,Int Coverage ,Dividend Payout % ,Avg Div Payout 3Yrs % ,Div Yld % ,ROE 3Yr % ,ROCE3yr avg % ,Current ratio ,Sales Var 5Yrs % ,Profit Var 5Yrs % ,Pledged % ,Prom. Hold. % ,Piotski Scr 
1,Goodyear India ,925.65,814.53,817.75,2135.48,1558.84,1868.95,97.19,21.97,14.46,42.13,1.21,2.61,11.73,1.14,8.09,8.25,0,52.09,23.08,22.94,1.4,19.19,29.95,2.06,2.65,18.11,0,74,6
2,TVS Srichakra ,2123.25,1764.17,644.67,1626.41,1922.88,2354.73,115.81,14.04,11.49,151.21,0.27,2.39,8.8,0.69,6.98,11.16,0.48,6.27,26.05,24.8,1.88,31.45,33.39,1.73,7.83,52.69,0,45.36,6
3,Heidelberg Cem. ,181.6,223.62,68.88,4115.29,4522.11,2121.29,211.86,19.42,38.03,9.35,0.46,3.81,10.7,1.94,8.91,22.56,0.59,5.34,42.54,34,1.38,8.65,11.55,0.87,16.49,42.18,0,69.39,9
4,Ashok Leyland ,89.6,376.74,24.93,26302.33,26300.25,28968.91,1946.06,13.31,70.55,6.64,0.23,3.72,4.85,0.91,7.93,10.87,0.14,38.15,45.52,50.4,2.7,21.98,25.16,0.63,16.03,56.73,6.66,51.12,7
5,Tata Elxsi ,873.6,1158.18,276.09,5440.47,5046.13,1596.92,289.96,18.76,31.37,46.57,0.37,5.77,27.62,3.41,11.01,25.99,0,,28.54,28.4,1.26,39.13,59.54,4.21,18.05,50.63,0,44.53,8
6,DCM Shriram ,465.7,315.93,334.5,7399.74,8006.72,7771.14,905.5,8.17,7.7,57.09,0.37,2.1,8.95,0.95,5.5,17.61,0.25,10.92,19.99,18.15,1.81,21.3,20.87,1.72,4.49,22.31,0,66.53,9
7,Bank of Baroda ,119.05,0,,40693.29,601682.7,47699.19,-1677.45,,13.42,-8.06,,0.94,-0.67,0.85,21.25,47.16,15.07,0.94,0,6.68,0,-5.42,4.02,5.46,4.4,,0,65.37,2
8,Bharat Dynamics ,277.9,396.56,,5093.39,4740.29,4213.76,635.12,8.02,13.76,34.65,,2.45,5.22,1.21,4.76,21.06,0,243.03,30.02,30.02,3.11,27.59,41.49,1.24,,,0,87.75,6
9,Hind.Aeronautics ,652.75,1133.14,,21827.14,16207.46,18917.83,2229.07,9.79,18.3,66.66,,1.73,-28.84,1.15,3.51,22.08,0.08,86.05,52.01,38.02,4.93,18.43,26.82,1.44,,,0,89.97,4
10,Endurance Tech. ,1175.6,1087.03,950.13,16536.33,16847.69,7345.14,462.72,34.72,39.13,32.89,1.81,6.91,22.29,2.25,15.45,14.45,0.37,29.08,14.4,9.79,0.34,21.33,22.18,1.59,11.33,19.23,0,75,9
11,Indraprastha Gas ,308.5,695.65,390.22,21595.02,21036.99,5450.27,735.88,29.35,14.52,10.52,2.32,5.83,24.56,3.96,15.71,22.24,0,432.9,4.17,15.02,0.13,19.82,30.09,0.64,6.4,12.66,0,45,6
