S.No. ,Name ,CMP Rs. ,MyAvgIV ,IV Rs. ,Mar Cap Rs.Cr. ,EV Rs.Cr. ,Sales Rs.Cr. ,NP 12M Rs.Cr. ,P/E ,5Yrs PE ,EPS 12M Rs. ,PEG ,CMP / BV ,CMP / OCF ,CMP / Sales ,EV / EBITDA ,OPM % ,Debt / Eq ,Int Coverage ,Dividend Payout % ,Avg Div Payout 3Yrs % ,Div Yld % ,ROE 3Yr % ,ROCE3yr avg % ,Current ratio ,Sales Var 5Yrs % ,Profit Var 5Yrs % ,Pledged % ,Prom. Hold. % ,Piotski Scr 
1,Goodyear India ,949.55,609.2,838.97,2190.61,1613.97,1868.95,97.19,22.54,14.46,42.13,1.24,2.67,12.03,1.17,8.38,8.25,0,52.09,23.08,22.94,1.37,19.19,29.95,2.06,2.65,18.11,0,74,6
2,TVS Srichakra ,2203.05,1737.4,669.01,1687.54,1984.01,2354.73,115.81,14.57,11.49,151.21,0.28,2.48,9.13,0.72,7.2,11.16,0.48,6.27,26.05,24.8,1.82,31.45,33.39,1.73,7.83,52.69,0,45.36,6
3,Heidelberg Cem. ,181.85,355.58,68.98,4120.96,4527.78,2121.29,211.86,19.45,38.03,9.35,0.46,3.82,10.72,1.94,8.92,22.56,0.59,5.34,42.54,34,1.37,8.65,11.55,0.87,16.49,42.18,0,69.39,9
4,Ashok Leyland ,91.25,468.45,25.39,26786.68,26784.6,28968.91,1946.06,13.56,70.55,6.64,0.24,3.79,4.94,0.92,8.08,10.87,0.14,38.15,45.52,50.4,2.66,21.98,25.16,0.63,16.03,56.73,8.54,45.36,7
5,Tata Elxsi ,929.75,1455.88,293.91,5790.15,5395.81,1567.2,288.96,20.04,31.37,46.41,0.4,7.18,29.39,3.69,11.74,26.27,0,,28.54,28.4,1.18,39.13,59.54,4.21,18.05,50.63,0,44.53,8
6,DCM Shriram ,403.8,319.86,288.08,6416.18,7023.16,7449.28,663.4,9.67,7.7,41.54,0.43,2.02,7.76,0.86,6.31,14.18,0.25,8.32,19.99,18.15,2.09,21.3,20.87,1.72,4.49,22.31,0,66.53,9
7,Bank of Baroda ,125.1,-108.17,,42761.28,603750.69,47699.19,-1677.45,,13.42,-8.06,,0.99,-0.7,0.9,21.33,47.16,15.07,0.94,0,6.68,0,-5.42,4.02,5.46,4.4,,0,65.37,2
8,Bharat Dynamics ,284.55,476.78,,5215.27,4862.17,4213.76,635.12,8.21,13.76,34.65,,2.5,5.34,1.24,4.88,21.06,0,243.03,30.02,30.02,3.04,27.59,41.49,1.24,,,0,87.75,6
9,Hind.Aeronautics ,679,1219.88,,22704.91,17085.23,18917.83,2229.07,10.19,18.3,66.66,,1.8,-30,1.2,3.7,22.08,0.08,86.05,52.01,38.02,4.74,,,1.44,,,0,89.97,4
10,Endurance Tech. ,1163.95,1286.99,940.83,16372.45,16683.81,7345.14,462.72,34.38,39.13,32.89,1.79,6.84,22.07,2.23,15.3,14.45,0.37,29.08,14.4,9.79,0.34,21.33,22.18,1.59,11.33,19.23,0,75,9
11,Indraprastha Gas ,308.45,152.75,390.09,21591.53,21033.5,5450.27,735.88,29.34,14.52,10.52,2.32,5.82,24.55,3.96,15.71,22.24,0,432.9,4.17,15.02,0.13,19.82,30.09,0.64,6.4,12.66,0,45,6
12,Schaeffler India ,5500,4482.6,2789.68,17193.41,16403.55,4561.51,419.8,38.47,33.38,134.29,1.3,6.35,72.27,3.77,19.74,16.23,0.02,89.81,22.34,13.28,0.55,17.89,27.04,2.78,26.83,29.63,0,74.13,4
13,WABCO India ,6300.8,8373.78,6945.35,11946.32,11590.24,2974.85,307.27,38.88,51.69,162,2.68,7.83,38.52,4.02,22.46,14.64,0,362.27,5.56,5.79,0.13,18.47,25.56,1.96,21.62,14.51,0,75,7
14,Sundaram Finance ,1457.65,1511.24,4303.7,16194.49,32916.29,3133.16,581.13,27.87,28.89,52.31,5.14,3.79,-4.85,5.17,12.81,80.93,4.46,1.53,25.02,25.47,0.82,14.28,11.27,6.43,4.84,5.42,0,36.45,4
15,IIFL Holdings ,448.35,419.42,262.13,14312.88,44333.16,6408.71,914.69,15.65,14.66,28.61,0.57,2.54,-1.43,2.23,9.54,68.2,6.51,1.58,17.5,21.56,1.11,18.28,11.53,5.3,7.68,27.33,0,29.03,3
S.No. ,Name ,CMP Rs. ,MyAvgIV ,IV Rs. ,Mar Cap Rs.Cr. ,EV Rs.Cr. ,Sales Rs.Cr. ,NP 12M Rs.Cr. ,P/E ,5Yrs PE ,EPS 12M Rs. ,PEG ,CMP / BV ,CMP / OCF ,CMP / Sales ,EV / EBITDA ,OPM % ,Debt / Eq ,Int Coverage ,Dividend Payout % ,Avg Div Payout 3Yrs % ,Div Yld % ,ROE 3Yr % ,ROCE3yr avg % ,Current ratio ,Sales Var 5Yrs % ,Profit Var 5Yrs % ,Pledged % ,Prom. Hold. % ,Piotski Scr 
16,Dewan Hsg. Fin. ,144.75,382,108.06,4542.59,94686.49,12722.75,1499.76,3.03,7.99,47.81,0.14,0.44,-0.16,0.36,8.39,88.55,10.53,1.25,14.72,17.02,3.8,17.22,10.3,2.25,20.81,21.45,0,39.21,2
17,Glaxosmi. Pharma ,1294.95,1745.08,-1652.5,21937.24,20658.54,3125.93,407.88,54.3,72.47,24.08,-4.29,11.47,46.2,7.02,31.06,19.12,0,940.55,84.22,90.92,1.35,16.48,25.23,1.42,1.8,-12.66,0,75,7
18,Biocon ,613.4,470.85,-14307.79,36804,37745.2,5155.1,822,55.93,33.85,13.91,-64.29,6.45,55.59,7.14,26.5,23.09,0.44,13.93,16.11,14.69,0.16,9.76,10.17,2.17,10.66,-0.87,0,60.67,7
19,Tata Inv.Corpn. ,844.7,517.72,1704.4,4273.79,4272.1,215.13,170.92,25,16.69,31.02,3.43,0.55,62.68,19.87,22.15,89.62,0,,46.4,47.21,2.58,9.13,10.76,4.59,8.49,7.28,0,73.38,8
20,Bajaj Holdings ,3300.45,2019.68,4627.96,36730.71,36646.3,449.37,2969.11,12.37,7.57,266.8,1.08,1.42,22.26,81.74,11.94,85.38,0,,13.97,14.86,1.21,15.69,3.86,4.94,23.28,11.41,0,49.03,8
21,Cholaman.Inv.&Fn ,1424.2,1401.36,875.81,22268.66,53778.42,6684.78,1194.37,18.64,18.34,76.41,0.72,3.92,-2.93,3.33,10.32,77.91,6.19,1.54,10.44,11.59,0.46,18.69,11.9,7.36,16.26,26.02,0,53.06,4
22,Bajaj Fin. ,3093.05,1512.72,1421.13,178768.52,240106.82,15930.18,3519.52,50.79,24.75,61.12,1.45,10.29,-10.46,11.22,21.68,68.99,3.73,1.99,8.69,9.96,0.13,20.89,12.86,9.02,33.86,34.95,0,55.17,5
23,Bandhan Bank ,605.5,599.58,,72241.17,100884.59,6161.95,1688.49,42.78,41.58,14.42,,7.7,-27.85,11.72,21.61,61.49,3.64,2.27,8.86,,0.17,,,7.73,,,0,82.26,4
24,IndusInd Bank ,1699.25,1633.46,981.18,102441.97,279154.34,20919.82,3894.09,26.31,25.2,64.82,0.95,4.37,-4.95,4.9,15.33,61.71,8.09,1.48,12.48,12.24,0.44,16.08,8.36,3.14,19.87,27.81,0,15,5
25,HDFC AMC ,1592.25,,,33846.97,33844.9,1896.34,849.49,39.84,0,,,15.67,54.59,17.85,26.92,58.48,0,,46.69,43.63,1,,,1.52,,,0,82.72,6
26,Multi Comm. Exc. ,784.45,779.67,-655.89,4000.7,3941.04,291.48,119.4,28.47,33.22,23.47,-1.75,3.26,40.27,13.73,21.32,31.47,0,4248.75,80.01,56.45,2.17,8.21,11.43,0.4,-7.73,-16.3,0,0,5
27,ICICI Sec ,214.8,0,,6919.59,6094.78,1707.51,490.74,14.1,0,15.23,,8.3,97.24,4.05,7.48,46.56,0.81,18.88,54.29,,4.38,,,2.19,,,0,79.22,5
28,Adani Transmissi ,219.75,45.35,,24168.33,33931.18,5651.39,604.03,40.01,15.27,2.97,,3.11,11,4.28,11.57,46.36,2.48,1.56,0,0,0,23.32,14.57,2.11,,,52.02,74.92,9
29,Talwalkars Heal. ,122.45,,,379.65,708.71,261.59,75.86,5.01,0,,,0.77,6.47,1.45,4.47,59.46,0.82,6.8,4.51,,0.82,,,3.98,,,77.3,37.66,5
30,VST Inds. ,3392.75,3186.28,6167.24,5238.4,5200.81,1105.52,222.14,23.58,22.15,143.85,2.68,9,12.44,4.74,13.42,31.92,0,,65.79,70.93,2.28,34.58,52.27,0.89,7.22,8.8,0,32.16,7
S.No. ,Name ,CMP Rs. ,MyAvgIV ,IV Rs. ,Mar Cap Rs.Cr. ,EV Rs.Cr. ,Sales Rs.Cr. ,NP 12M Rs.Cr. ,P/E ,5Yrs PE ,EPS 12M Rs. ,PEG ,CMP / BV ,CMP / OCF ,CMP / Sales ,EV / EBITDA ,OPM % ,Debt / Eq ,Int Coverage ,Dividend Payout % ,Avg Div Payout 3Yrs % ,Div Yld % ,ROE 3Yr % ,ROCE3yr avg % ,Current ratio ,Sales Var 5Yrs % ,Profit Var 5Yrs % ,Pledged % ,Prom. Hold. % ,Piotski Scr 
31,Godfrey Phillips ,1129.25,1245.01,-30113.77,5871.42,5861.42,2407.57,248.69,23.61,26.03,47.83,-39.35,3.29,11.42,2.44,12.58,16.66,0.02,415.58,25.88,26.87,0.71,9.46,13.01,1.31,1.99,-0.6,0,72.19,8
32,Greenply Inds. ,168.9,150.68,705.64,2071.18,2693.64,1753.17,106.41,19.46,17.36,8.68,5.08,2.19,15.72,1.18,12.81,11.58,0.71,5.76,5.42,5.46,0.36,19.53,19,1.56,-3.43,3.83,0,51.03,4
33,Sh.Renuka Sugar ,10.75,-147.66,,2060.58,4390.51,4121,-811.3,,32.17,-4.59,,4.71,-1.72,0.5,-82.84,-2.41,,-0.49,0,0,0,-25.17,-2.91,0.78,-1.81,,0,58.34,2
34,Manappuram Fin. ,119.25,105.75,22.05,10054.75,21952.36,3921.26,851.56,11.81,10.46,10.11,0.14,2.43,-9.38,2.56,8.34,65.69,3.28,2.07,25.12,31.8,1.68,19.02,14.47,22.19,83.34,86.63,4.9,35.14,2
35,Wonderla Holiday ,318.4,428.27,1986.35,1799.24,1778.16,276.15,52.11,34.53,46.35,9.24,13.44,2.33,21.39,6.52,14.82,40.42,0,127.83,22,19.19,0.47,7.48,11.02,0.47,14.43,2.57,0,69.35,7
36,V-Guard Inds. ,221.1,120.08,218.51,9442.77,9440.13,2485.35,133.86,70.54,38.12,3.15,4.34,11.81,174.49,3.8,48.67,7.21,0,126.9,22.39,20.6,0.32,23.37,32.3,2.1,11.34,16.27,0,64.12,3
37,L&T Fin.Holdings ,139.6,222.39,114.89,27903.42,98417.16,12233.39,2084.71,13.38,21.1,10.54,0.68,2.27,-1.79,2.28,10.5,70.8,5.27,1.44,13.67,14.51,0.72,12.1,9.28,5.86,21.23,19.64,0,63.91,5
38,L&T Technology ,1695.25,1552.22,,17632.86,17548.86,4790,732.9,24.06,21.81,71.17,,8.85,42.63,3.68,16.02,17.34,0.04,442.32,64.82,39.66,0.93,33.38,40.28,2.17,,,0,78.88,4
39,L & T Infotech ,1698.4,1433.15,2023.76,29468.96,29105.66,8961,1426.4,20.66,17.34,82.65,1.53,7.35,34.92,3.29,14.19,18.96,0,146.5,33.26,44.69,1.25,34.73,43.53,2.13,13.66,13.5,0,74.8,4
40,Mahindra CIE ,226.15,550.2,,8566.75,10067.45,8031.5,498.1,17.28,41.84,13.15,,2,12.1,1.07,9.72,12.46,0.38,14.93,0,0,0,10.17,11.64,1.14,25.39,,0,67.72,6
41,Huhtamaki PPL ,222.3,111.17,498.56,1678.86,2039.91,2369.07,34.89,48.12,24.01,4.63,6.73,3.02,17.48,0.71,8.57,9.45,0.74,3.9,35.62,34.61,1.35,11.87,15.48,1.76,19.07,7.15,0,66.94,6
