security_name, split_share, split_count
BAJFINANCE ,  10:2 , 1
MINDAIND ,  10:2 , 1
TRENT ,  10:1 , 1
DIAMOND ,  10:1 , 1
KAJARIACER ,  2:1 , 1
GRASIM ,  10:2 , 1
8KMILES ,  10:5 , 1
PACT ,  10:1 , 1
GAL ,  10:1 , 1
SRESTHA ,  10:2 , 1
SNIM ,  5:1 , 1
CAPPL ,  10:2 , 1
MENNPIS ,  10:1 , 1
WELCON ,  10:1 , 1
NEGOTIUM ,  10:1 , 1
VFL ,  10:1 , 1
VKJINFRA ,  10:1 , 1
BHAGIL ,  10:5 , 1
GOLDLINE ,  10:1 , 1
VAMA ,  10:2 , 1
INANI ,  10:2 , 1
ICIL ,  10:2 , 1
KARURVYSYA ,  10:2 , 1
CGCL ,  10:2 , 1
KPRMILL ,  10:5 , 1
MANGIND ,  10:1 , 1
SUNILHITEC ,  10:1 , 1
SKFL ,  10:1 , 1
KNRCON ,  10:2 , 1
SHRGLTR ,  5:1 , 1
GULPOLY ,  5:1 , 1
JSWSTEEL ,  10:1 , 1
STERTOOLS ,  10:2 , 1
USHDI ,  10:1 , 1
KALLAM ,  10:2 , 1
KDML ,  10:5 , 1
DAAWAT ,  10:1 , 1
GAYAPROJ ,  10:2 , 1
COMPUAGE ,  10:2 , 1
DWITIYA ,  10:2 , 1
NUTRA ,  10:5 , 1
VIAANINDUS ,  10:1 , 1
BEL ,  10:1 , 1
BLS ,  10:1 , 1
DANUBE ,  10:1 , 1
BEARDSELL ,  10:2 , 1
MANCREDIT ,  10:1 , 1
ADVENZYMES ,  10:2 , 1
HINDCOMPOS ,  10:5 , 1
ARCOTECH ,  10:2 , 1
NAVINFLUOR ,  10:2 , 1
SUNTECK ,  2:1 , 1
SAIBABA ,  10:1 , 1
CORALFINAC ,  10:2 , 1
DWARKESH ,  10:1 , 1
OROSMITHS ,  5:1 , 1
INFIBEAM ,  10:1 , 1
DECCANCE ,  10:5 , 1
BOROSIL ,  10:1 , 1
NESCO ,  10:2 , 1
YESBANK ,  10:2 , 1
SAFARIND ,  10:2 , 1
SUTLEJTEX ,  10:1 , 1
TRIL ,  10:1 , 1
HERITGFOOD ,  10:5 , 1
CANFINHOME ,  10:2 , 1
POKARNA ,  10:2 , 1
VISHAL ,  10:5 , 1
SIYSIL ,  10:2 , 1
ATLASCYCLE ,  10:5 , 1
SHRJAGP ,  10:1 , 1
IGL ,  10:2 , 1
AAIL ,  10:5 , 1
UNICRSE ,  5:1 , 1
ADVIKCA ,  10:1 , 1
PREMPIPES ,  10:5 , 1
SUCROSA ,  10:2 , 1
SINGER ,  10:2 , 1
SRSFIN ,  10:1 , 1
INDNIPPON ,  10:5 , 1
MARATHON ,  10:5 , 1
KCDGROUP ,  10:5 , 1
AMRUTANJAN ,  2:1 , 1
TISL ,  10:1 , 1
FOODSIN ,  10:1 , 1
PHILIPCARB ,  10:2 , 1
SHIVALIK ,  10:5 , 1
AINFRA ,  10:5 , 1
CITURGIA ,  10:2 , 1
GGPL ,  10:5 , 1
ZGAEKWAR ,  100:10 , 1
LUMAXTECH ,  10:2 , 1
BCP ,  10:2 , 1
UNITDSPR ,  10:2 , 1
VIKASPROP ,  10:1 , 1
UNIPLY ,  10:2 , 1
CONCOR ,  10:5 , 1
FILATEX ,  10:2 , 1
OTCO ,  10:2 , 1
GALLISPAT ,  10:1 , 1
FERMENTA ,  10:5 , 1
TIRUMALCHM ,  10:1 , 1
ZENSARTECH ,  10:2 , 1
GENCON ,  10:5 , 1
CPL ,  10:2 , 1
KIRLPNU ,  10:2 , 1
JMCPROJECT ,  10:2 , 1
IEX ,  10:1 , 1
FRONTSEC ,  10:5 , 1
DAMOINDUS ,  10:5 , 1
DFM ,  10:2 , 1
KAJARIR ,  10:2 , 1
SAKUMA ,  10:1 , 1
ORVENPR ,  10:1 , 1
BRITANNIA ,  2:1 , 1
OAL ,  10:5 , 1
SAYAJIIND ,  10:5 , 1
ACRYSIL ,  10:2 , 1
GUJGAS ,  10:2 , 1
SADHNANIQ ,  10:5 , 1
IWP ,  10:2 , 1
RADIOCITY ,  10:2 , 1
ISLCONSUL ,  10:5 , 1
KEDIACN ,  10:5 , 1
NITINCAST ,  10:5 , 1
ISGEC ,  10:1 , 1
WOODSVILA ,  10:5 , 1
GENPHARMA ,  10:1 , 1
LESHAIND ,  10:1 , 1
ORIENTTR ,  10:2 , 1
CHOLAFIN ,  10:2 , 1
EKAMLEA ,  10:5 , 1
APCOTEXIND ,  5:2 , 1
SINNAR ,  10:5 , 1
SESHAPAPER ,  10:2 , 1
MASTERTR ,  10:5 , 1
PRIMIND ,  10:5 , 1
HDFCBANK ,  2:1 , 1
PGINDST ,  10:5 , 1
SATIA ,  10:1 , 1
AMALGAM ,  10:5 , 1
ISTLTD ,  10:5 , 1
HIMGRANI ,  10:5 , 1
GUJCOTEX ,  10:5 , 1
RAMASIGNS ,  10:5 , 1
TRIDENT ,  10:1 , 1
ELPROINTL ,  10:2 &  2:1 , 2
ROLLT ,  10:2 &  2:1 , 2
JMTAUTOLTD ,  10:2 &  2:1 , 2
ALANKIT ,  10:2 &  2:1 , 2
AVANTI ,  10:2 &  2:1 , 2
JAMNAAUTO ,  10:5 &  5:1 , 2
NBCC ,  10:2 &  2:1 , 2
MISHTANN ,  10:1 &  10:1 , 2
JINDWORLD ,  10:5 &  5:1 , 2
