ONGC,OIL AND NATURAL GAS
BEL,BEL INT DIV 2019-20
BHARAT DYNAMICS,BHARAT DYNAMICS LIMI
NMDC,NMDC LIMITED
AMBUJA CEMENTS,Ambuja Cements Limit
HAL,HINDUSTANAERONAUTICS
EID PARRY,EID PARRY (INDIA) LI
AEGIS LOGISTICS,Aegis Logistics Limi
SBILIFE,SBI LIFE INSURANCE C
COLPAL,Colgate-Palmolive (I
CRISIL,CRISIL LIMITED
MUTHOOTFIN,Muthoot Finance Limi
SCHAEFFLER,SCHAEFFLER INDIA LTD
NTPC,NTPC LIMITED
BHARTI INFRATEL,BHARTI INFRATEL LTD
ABB,ABB INDIA LIMITED
HAT,HAT INT2DIV 2019-20
IBULHSGFIN,IHFL
PAPERPROD,HPPL FINAL14052019
SANOFI,Sanofi India Limited
NESTLE,NESTLE INDIA LTD.
KSB,KSB Pumps Limited
CASTROL,Castrol India Limite
HCL TECHNOLOGIES,HCL Technologies Lim
GODREJ CONSUMER PROD,GODREJ CONSUMER PROD
TATACOFFEE,TATACOFFEDIV060619
PAGE INDUSTRIES,Page Industries Limi
MANAPPURAM,MFL 5TH INTDIVFY1920
TATACONSUM,TGBL DIV.13062019
TCS,TCS INTDIV 240320
TATAPOWER,T POWER FINAL DIV
INFY,INFOSYS LIMITED
KANSAINER,KANSAI FINDIV 1819
ICICI LOMBARD,ICICI LOMBARD
INDHOTEL,THE INDIAN HOTELS CO
ASIANPAINT,ASIANPAINTS280619
ESSEL PROPACK,ESSEL PROPACK LIMITE
RALLIS,RALLISFINDIV020719
SRTRANSFIN,STFC
HINDUNILVR,HINDUSTAN UNILEVER L
BANDHAN BANK,BANDHAN BANK LIMITED
SIS,SIS LTD
MONSANTO,Monsanto India Limit
NILKAMAL,Nilkamal Limited
TATACHEM,TCL FINAL 10072019
BALKRISIND,BALKRISHNAINDUSTRIES
SUPREME INDUSTRIES,SUPREME INDUSTRIES L
ITC,ITC LIMITED
HDFC BANK,HDFC BANK LTD
BSE,BSE LIMITED
HDFCAMC,HDFCASSET MANAGEMENT
TATAELXSI,TATAELXSI DIV 1819
ULTRATECH CEMENT,ULTRATECH CEMENT LTD
SUNDARMFIN,SFL II IDiv 2019-20
AXIS BANK,AXIS BANK LIMITED
TATASTEEL,TATA STEEL FPDIV19
LTI,Larsen & Toubro Info
GLAXO,GLAXO PHARMA
LTTS,L&T TECHNOLOGY SERVI
M&M,MAHINDRA & MAHINDRA
KOTAK MAHINDRA BANK,KOTAK MAHINDRA BANK
BASF,BASFDIV240719
CROMPTON,CGCEL
TTK PRESTIGE,TTK PRESTIGE LIMITED
V GUARD INDUSTRIES,V GUARD INDUSTRIES LTD
AMARAJABAT,AMARARAJAINT2DIV2020
SKF,SKF INDIA LIMITED
DELTA,DELTA CORP LIMITED
TIINDIA,TUBE INVESTMENTS OF
COROMANDEL,COROMANDEL INTERNATI
JSW STEEL,JSW STEEL LIMITED
ZEEL,Zee Entertainment En
BAYER,BAYER DIV 290719
GRINDWELL,GRINDWELL DIV 1819
BAJAJ AUTO,BAJAJ AUTO LIMITED
BAJAJ FINSERV,BAJAJ FINSERV LIMITE
BAJAJ FINANCE,BAJAJ FINANCE LIMITE
BAJAJ HOLDINGS & INV,BAJAJ HOLDINGS & INV
HAVELLS,HAVELLS INDIA LIMITE
PVR,PVR LIMITED
TATAINVEST,TICL DIV 01082019
L&TFH,L&T Finance Holdings
FLFL,Future Lifestyle Fas
HERO MOTOCORP,HERO MOTOCORP LTD.
DLF,DLF LIMITED
APOLLO TYRES,APOLLO TYRES LTD
BIOCON,BIOCON LIMITED
BLUEDART,BLUEDART EXPRESS
HDFC,HDFC FINAL DIV 2018-
CHOLAMANDALAM INVEST,CHOLAMANDALAM INVEST
VIP INDUSTRIES,VIP Industries Limit
DRREDDY,DR. REDDY'S LABORATO
ZYDUS WELLNESS,ZYDUS WELLNESS LTD
LT,LARSEN & TOUBRO LIMI
FUTURE SUPPLY CHAIN,Future Supply Chain
ASHOK LEYLAND,ASHOK LEYLAND LIMITE
UFLEX,UFLEX LIMITED
CEATLTD,CEAT DIV.270320
CERA SANITARYWARE,CERA SANITARYWARE LI
CHOLAMANDALAM FINANC,CHOLAMANDALAM FINANC
EXIDE INDUSTRIES,EXIDE INDUSTRIES LIM
EICHER MOTORS,Eicher Motors Limite
GODREJ AGROVET,GODREJ AGROVET LTD
ENTERTAINMENT NETWOR,ENTERTAINMENT NETWOR
MAHINDRA LOGISTICS,Mahindra Logistics L
PIRAMAL ENTERPRISES,Piramal Enterprises
TRENT,TRENT DIV 08082019
TECH MAHINDRA,Tech Mahindra Limite
CARBORUNIV,CARBORUNDUM UNIVERSA
PIDILITIND,PIDILITEINTDIV1920
ADANIPORTS,Adani Ports And Spec
DCM SHRIRAM,DCM SHRIRAM LIMITED
ICICI BANK,ICICI BANK
ICICIPRULI,ICICI PRUDENTIAL
WONDERLA,WONDERLA HOLIDAYS LI
ADANI ENTERPRISES,Adani Enterprises Li
LUPIN,Lupin Limited
VSTTILLERS,VST INT DIV 2019-20
CADILA HEALTHCARE,cadila HEALTHCARE
ADANI GAS,Adani Gas Limited
ASAHI GLASS,Asahi India Glass Li
SHREE CEMENT,Shree Cement Limited
SOBHA,Sobha Limited
ARVIND,Arvind Limited
VOLTAS,VOLTAS FINDIV 1819
TITAN,TITAN FINDIV 18-19
ENDURANCE TECHNOLOGI,Endurance Technologi
GOODYEAR,GOODYEAR INDIA LTD
BRITANNIA INDUSTRIES,BRITANNIA INDUSTRIES
GREENLAM INDUSTRIES,Greenlam Industries
NARAYANA HRUDAYALAYA,NARAYANA HRUDAYALAYA
RELIANCE INDUSTRIES,RELIANCE INDUSTRIES
AVANTI FEEDS,AVANTI FEEDS LIMITED
BATA,BATA INDIA LTD. 2019
BLUE STAR,Blue Star Limited
ICICI SECURITIES,ICICI SECURITIES
UPL,UPL Limited
EIH,EIH Ltd.
MRF,MRF LIMITED
EMAMI,EMAMI LTD
INFO EDGE,Info Edge (India) Li
BRIGADE,BRIGADE ENTERPRISES
GSKCONS,GLAXO CONSUMER
CIPLA,CIPLA LIMITED
BERGER PAINTS ,BERGER PAINTS INDIA
VRLLOG,VRL LOGISTICS LTD
JK TYRE AND INDUSTRI,JK TYRE AND INDUSTRI
LALPATHLAB,Dr. Lal PathLabs Lim
WABCO,WABCO INDIA LTD
MOTHERSUMI,MOTHERSON SUMI SYSTE
GODREJ INDUSTRIES,GODREJ INDUSTRIES LI
INDUSIND BANK,Indusind Bank Limite
AKZO NOBEL,AKZO NOBEL INDIA LTD
CARE RATINGS,CARE RATINGS LIMITED
WHIRLPOOL,Whirlpool Of India L
HINDUSTAN PETROLEUM,Hindustan Petroleum
SOMANY CERAMICS,SOMANY CERAMICS LTD.
HONEYWELL,HONEYWELL FIN DIV
PFIZER,PFIZER LIMITED
GRASIM INDUSTRIES,GRASIM INDUSTRIES
THOMASCOOK,TCOOKFINDIV 270819
