Name,BSE Code,NSE Code,Industry,Current Price,Filter,Filter52wLow,Up from 52w low,Low price,High price,Sales,Net profit,Market Capitalization,Debt to equity,Average return on equity 3Years,ROCE3yr avg,Average dividend payout 3years,Price to Earning,Historical PE 5Years,PEG Ratio,OPM,Interest Coverage Ratio,Enterprise Value,Net worth,Reserves,Return on assets 3years,Price to book value,Price to Cash Flow,Price to Sales,EVEBITDA,Dividend Payout Ratio,Dividend yield,Current ratio,Sales growth 5Years,Profit growth 5Years,Pledged percentage,Promoter holding,Piotroski score
Adani Transmissi,539254,ADANITRANS,Power Generation And Supply,224.35,0,0,59.11,141.00,256.30,9537.42,608.99,24674.24,4.34,19.52,13.49,0.00,40.52,22.15,,35.52,1.52,44109.67,4634.85,3535.04,4.60,3.07,9.52,2.59,11.88,0.00,0.00,1.32,,,50.37,74.92,4.00
Aditya Bir. Fas.,535755,ABFRL,Textiles - Products,206.50,0,0,23.25,167.55,236.90,8269.66,337.18,15972.93,1.19,15.45,10.26,0.00,47.37,124.89,1.58,9.12,1.75,17617.87,1428.82,655.32,5.06,11.18,30.27,1.93,21.27,0.00,0.00,1.14,37.35,29.91,0.00,59.10,8.00
Aditya Birla Cap,540691,ABCAPITAL,Finance & Investments,81.40,0,0,6.13,76.70,117.00,15745.90,936.91,17928.82,5.80,9.47,9.34,0.00,19.14,35.44,,36.27,1.34,72059.38,9512.36,7310.95,0.91,1.88,-1.75,1.14,12.09,0.00,0.00,0.64,,,0.00,72.74,4.00
Advance. Enzyme.,540025,ADVENZYMES,Chemicals,149.15,0,0,5.04,142.00,225.00,425.65,115.69,1665.65,0.05,19.50,27.03,5.70,14.40,31.66,0.35,43.94,51.37,1677.27,678.85,656.52,16.89,2.45,12.96,3.91,8.70,6.03,0.40,2.71,11.94,40.75,0.00,57.30,8.00
Aegis Logistics,500003,AEGISCHEM,Trading,175.60,0,0,3.29,170.00,241.70,6554.25,226.70,5964.55,0.17,17.99,19.86,23.88,26.31,31.43,0.90,5.90,12.27,5790.38,1391.27,1357.87,13.26,4.29,10.72,0.91,14.49,21.12,0.78,1.22,2.23,29.32,0.00,60.58,8.00
AIA Engg.,532683,AIAENG,Castings & Forgings,1707.45,0,0,17.50,1453.20,2026.00,2756.24,392.74,16101.25,0.04,14.89,20.16,18.20,41.00,28.42,10.10,19.23,84.67,16201.16,3176.04,3157.18,14.27,5.07,108.51,5.84,24.50,20.46,0.53,5.23,9.74,4.06,0.00,58.47,6.00
Ajanta Pharma,532331,AJANTPHARM,Pharmaceuticals - Indian - Formulations,997.00,1,0,20.85,825.00,1204.45,2156.32,395.81,8699.30,0.02,25.63,33.25,22.54,21.98,26.93,2.07,26.39,187.13,8634.75,2245.21,2227.67,26.47,3.87,23.22,4.03,14.44,20.40,0.91,2.73,11.21,10.61,13.37,70.52,5.00
Akzo Nobel,500710,AKZOINDIA,Paints / Varnishes,1908.90,1,0,29.77,1471.00,2075.00,2922.35,224.61,8693.19,0.00,23.00,30.37,39.70,38.78,32.13,2.73,12.77,56.45,8634.49,1135.54,1090.00,21.68,7.66,61.60,2.97,20.84,51.87,1.26,1.26,4.58,14.18,0.00,74.76,7.00
Alembic Pharma,533573,APLLTD,Pharmaceuticals - Indian - Bulk Drugs & Formln,517.15,1,0,18.86,435.10,651.00,4021.07,617.62,9748.28,0.42,22.21,23.90,18.24,15.18,23.83,0.76,23.56,38.36,10671.09,2718.82,2681.12,18.17,3.59,12.01,2.42,11.11,17.74,1.06,2.08,16.13,19.85,0.00,72.97,8.00
Alkem Lab,539523,ALKEM,Pharmaceuticals - Indian - Bulk Drugs & Formln,1949.70,0,0,17.45,1660.00,2097.90,7547.65,815.78,23311.59,0.17,16.47,18.39,23.30,28.58,29.28,2.43,14.97,19.22,23594.06,5439.34,5415.43,13.64,4.29,29.99,3.09,19.53,25.15,0.82,2.75,18.77,11.77,0.00,66.03,8.00
Allahabad Bank,532480,ALBK,Banks - Public Sector,27.80,0,0,2.58,27.10,59.00,16587.90,-6261.59,10346.38,24.84,-36.84,2.68,0.00,,6.91,,11.90,0.35,222935.87,10755.20,7033.48,-1.83,1.13,-0.65,0.62,57.11,0.00,0.00,3.76,-2.09,,0.00,92.01,1.00
Allcargo Logist.,532749,ALLCARGO,Miscellaneous,103.65,0,0,18.93,87.15,126.00,7083.66,254.62,2546.63,0.30,11.02,12.65,28.47,10.40,16.21,1.06,6.85,10.34,2904.23,1998.78,1949.64,8.45,1.27,7.85,0.36,5.63,35.54,3.38,1.37,7.25,9.81,0.00,70.01,7.00
Amara Raja Batt.,500008,AMARAJABAT,Auto Ancillaries,703.30,0,0,22.83,572.60,807.50,6829.39,511.37,12013.24,0.02,17.14,25.27,18.41,23.49,28.51,4.31,14.80,93.70,11999.92,3335.32,3318.24,16.41,3.60,22.19,1.76,11.39,25.01,1.01,2.22,14.60,5.45,0.00,28.06,7.00
Ambuja Cem.,500425,AMBUJACEM,Cement - North India,199.85,0,0,6.11,188.35,244.00,26645.75,2380.36,39683.12,0.00,8.25,14.15,37.04,15.95,31.20,1.15,15.75,22.97,33277.83,23110.54,22713.41,6.60,1.72,22.98,1.49,6.95,13.68,0.75,1.59,23.24,13.86,0.00,63.11,7.00
Andhra Bank,532418,ANDHRABANK,Banks - Public Sector,16.70,0,0,7.40,15.55,33.65,19366.85,-2194.74,4984.09,17.48,-17.58,4.29,0.00,,11.49,,45.11,0.86,220049.36,13265.13,10280.64,-0.86,0.38,1.71,0.26,20.58,0.00,0.00,4.30,5.78,,0.00,87.81,5.00
Apar Inds.,532259,APARINDS,Electric Equipment,553.70,0,0,22.38,452.45,702.30,8449.85,148.31,2118.93,0.21,14.04,28.99,24.50,14.29,17.53,1.69,5.87,2.17,2146.92,1202.37,1164.10,10.75,1.76,3.36,0.25,4.21,26.72,1.72,1.12,11.47,8.44,0.00,58.55,6.00
APL Apollo,533758,APLAPOLLO,Steel - Medium / Small,1360.65,1,0,35.62,1003.30,1687.95,7547.39,153.02,3299.63,0.89,19.87,21.53,20.71,21.56,18.51,1.07,5.42,3.06,4109.96,964.46,940.21,10.36,3.42,9.24,0.44,9.75,22.52,1.01,1.66,23.43,20.16,0.00,37.18,5.00
Apollo Hospitals,508869,APOLLOHOSP,Healthcare,1369.25,0,0,32.29,1035.00,1579.70,8655.47,321.91,19049.01,0.83,7.59,9.62,28.89,59.17,55.01,-55.30,12.91,2.60,22009.11,3883.41,3813.85,4.26,4.91,20.99,2.20,19.44,27.57,0.44,1.37,16.80,-1.07,71.26,34.40,7.00
Apollo Tyres,500877,APOLLOTYRE,Tyres,169.10,0,0,17.39,144.05,244.90,17580.86,569.60,9673.37,0.49,10.46,10.98,21.65,13.29,12.57,-2.97,10.77,5.70,14041.16,10039.82,9982.61,7.30,0.96,9.03,0.55,6.97,27.35,1.92,1.33,5.52,-4.47,15.02,40.90,7.00
Ashok Leyland,500477,ASHOKLEY,Automobiles - LCVs / HCVs,65.95,1,0,15.80,56.95,123.10,28476.09,1791.79,19359.80,0.08,25.45,27.38,41.20,10.51,70.01,0.24,10.54,35.61,18618.57,8332.43,8038.88,19.54,2.32,-53.43,0.68,6.04,45.89,4.70,0.94,23.05,43.55,9.26,51.13,6.00
Ashoka Buildcon,533271,ASHOKA,Engineering - Turnkey Services,97.25,0,0,10.76,87.80,155.00,4930.12,-33.46,2730.03,20.88,-23.65,16.80,-9.35,,24.56,,27.98,1.17,8537.62,286.89,146.53,-1.61,9.44,-16.95,0.55,5.86,0.00,0.00,0.91,22.40,,0.00,54.26,3.00
Asian Paints,500820,ASIANPAINT,Paints / Varnishes,1766.10,1,0,57.97,1118.00,1820.00,20081.88,2255.45,169403.92,0.07,25.49,37.21,46.17,75.11,54.66,6.19,19.26,42.78,169586.07,9519.69,9423.77,22.68,17.80,76.51,8.44,40.88,46.64,0.59,1.30,9.62,12.14,11.95,52.80,5.00
Aster DM Health.,540975,ASTERDM,Healthcare,115.95,0,0,5.89,109.50,175.00,8216.65,339.71,5858.11,0.98,3.24,7.73,0.00,17.17,27.65,1.28,11.65,2.64,8305.41,2839.38,2334.15,0.54,1.82,10.04,0.71,8.39,0.00,0.00,1.75,22.63,13.41,0.00,37.80,9.00
Astral Poly,532830,ASTRAL,Plastics Products,1146.30,0,0,75.90,651.68,1267.55,2640.69,206.71,17270.41,0.23,18.23,23.09,4.45,83.55,55.08,4.16,15.01,11.87,17447.53,1205.52,1193.42,14.49,14.76,50.51,6.54,42.00,4.28,0.05,1.62,18.86,20.09,0.00,58.13,6.00
Astrazeneca Phar,506820,ASTRAZEN,Pharmaceuticals - Multinational,2267.95,0,0,73.65,1306.05,2398.55,771.41,69.56,5669.88,0.00,13.76,20.67,0.00,81.51,211.83,2.08,12.65,324.83,5496.58,300.80,295.80,12.79,18.85,103.13,7.35,48.45,0.00,0.00,1.65,8.98,39.13,0.00,75.00,8.00
Atul,500027,ATUL,Dyes And Pigments,3975.60,0,0,40.48,2830.00,4160.00,4021.05,474.18,11791.63,0.00,15.71,22.56,11.32,24.87,19.50,1.66,20.17,229.46,11763.01,2649.54,2619.88,14.56,4.45,29.74,2.93,14.03,10.39,0.38,2.08,10.82,14.97,4.52,44.70,8.00
AU Small Finance,540611,AUBANK,Banks - Private Sector,653.90,0,0,30.65,500.50,719.25,3305.99,495.31,19187.18,9.52,24.08,10.54,3.54,38.74,53.04,0.99,60.70,1.39,45482.79,2944.99,2652.59,4.90,9.60,22.63,5.80,17.65,5.74,0.11,1.53,38.96,39.03,7.04,32.19,5.00
Aurobindo Pharma,524804,AUROPHARMA,Pharmaceuticals - Indian - Bulk Drugs & Formln,576.20,0,0,7.38,536.60,838.00,20757.87,2544.86,33761.78,0.50,22.63,21.61,6.20,12.88,17.95,0.82,20.60,20.04,38771.36,13890.78,13832.19,15.96,2.43,20.81,1.63,8.77,6.19,0.43,2.68,19.32,15.65,3.82,51.87,4.00
Avanti Feeds,512573,AVANTIFEED,Food - Processing - Indian,360.35,1,0,42.43,253.00,487.50,3541.03,280.92,4909.61,0.01,36.91,57.80,17.02,17.48,15.00,0.59,11.63,162.16,4732.04,1205.96,1192.34,33.69,4.07,26.71,1.39,9.95,19.91,1.11,2.75,26.11,29.73,0.00,43.76,5.00
Avenue Super.,540376,DMART,Trading,1896.00,0,0,68.42,1125.75,1945.05,21137.36,1021.05,118326.42,0.12,18.11,24.06,0.00,115.89,95.33,2.74,8.59,30.27,118808.02,5594.48,4970.40,14.37,21.15,138.76,5.60,63.72,0.00,0.00,2.86,36.11,42.29,0.00,81.20,5.00
Axis Bank,532215,AXISBANK,Banks - Private Sector,679.15,0,0,27.15,534.15,827.75,57463.70,5345.60,191452.69,10.52,4.71,5.28,12.68,35.82,106.65,-6.50,50.51,1.23,825495.17,66685.87,66161.97,0.45,2.87,5.10,3.33,19.15,5.50,0.13,3.84,12.41,-5.51,0.00,16.22,7.00
B H E L,500103,BHEL,Electric Equipment,46.85,0,0,1.74,46.05,78.85,28945.14,843.57,16313.47,0.08,2.57,5.42,72.71,19.34,39.07,-1.01,5.49,5.50,11421.30,31399.86,30703.45,1.95,0.52,-4.20,0.56,5.12,57.30,4.27,2.01,-4.94,-19.07,0.00,63.17,6.00
B P C L,500547,BPCL,Refineries,493.90,1,0,107.04,238.55,511.55,301809.40,5913.88,107139.39,0.78,23.93,21.40,52.40,18.12,10.47,1.54,3.37,6.72,136143.28,37194.42,35227.54,13.91,2.92,14.01,0.35,10.28,52.40,3.49,0.87,2.71,11.77,0.00,53.29,6.00
Bajaj Auto,532977,BAJAJ-AUTO,Automobiles - Scooters And 3 - Wheelers,2910.00,1,0,21.25,2400.00,3149.95,30597.56,4898.00,84205.80,0.01,22.80,31.65,38.47,18.09,19.40,2.66,16.14,1388.85,83397.25,23233.81,22944.44,22.72,3.62,33.86,2.75,12.27,35.23,2.06,1.01,8.48,6.81,0.00,53.52,6.00
Bajaj Consumer,533229,BAJAJCON,Personal Care - Indian,244.15,1,1,2.18,238.95,425.65,928.19,231.02,3602.05,0.05,44.90,55.64,83.31,15.59,30.99,2.34,30.14,244.39,3613.34,485.12,470.37,43.57,7.43,19.63,3.88,11.96,91.32,5.73,1.56,6.46,6.65,60.72,60.02,8.00
Bajaj Electrical,500031,BAJAJELEC,Domestic Appliances,382.95,0,0,13.15,338.45,587.75,6830.99,143.94,3923.57,1.47,14.33,17.48,30.17,27.26,37.83,0.27,5.29,2.52,5489.75,1077.71,1057.22,6.94,3.64,-6.52,0.57,13.15,21.45,0.91,1.66,10.71,100.24,0.00,62.69,4.00
Bajaj Fin.,500034,BAJFINANCE,Finance & Investments,3992.40,0,0,108.81,1912.00,4112.00,18887.56,4181.33,231516.96,4.41,21.12,12.75,9.63,55.37,31.01,1.38,69.03,2.01,317626.99,19563.75,19448.26,3.74,13.33,-14.68,12.26,24.25,8.90,0.15,0.99,33.88,40.14,0.00,58.26,4.00
Bajaj Finserv,532978,BAJAJFINSV,Finance & Investments,8458.35,0,0,70.70,4955.00,8668.80,46104.99,3238.61,134602.89,4.20,14.82,14.35,1.17,41.56,21.79,2.63,34.61,2.16,232768.35,23765.92,23686.35,2.71,5.66,-4.97,2.92,14.58,1.24,0.03,0.10,47.89,15.82,0.00,60.71,5.00
Bajaj Holdings,500490,BAJAJHLDNG,Finance & Investments,3588.65,0,0,62.85,2203.65,3800.00,400.62,3006.41,39938.09,0.00,12.75,10.20,14.42,13.28,9.02,1.49,74.09,1208.86,39927.90,26952.30,26841.01,12.97,1.48,63.64,99.69,12.76,11.86,0.91,3.08,0.17,8.93,0.00,49.56,5.00
Balkrishna Inds,502355,BALKRISIND,Tyres,757.80,1,0,11.11,682.00,1189.65,5075.59,727.75,14649.58,0.18,18.30,21.25,17.17,20.13,18.06,2.33,24.06,132.25,15423.57,4678.71,4640.05,13.85,3.13,18.02,2.89,10.82,19.77,1.06,1.88,7.96,8.64,0.00,58.30,8.00
Balmer Lawrie,523319,BALMLAWRIE,Diversified - Large,164.90,0,0,3.55,159.25,213.00,1717.28,177.69,1879.90,0.01,14.96,22.15,58.34,10.58,11.29,3.30,12.83,44.32,1456.72,1300.20,1186.20,14.30,1.45,10.77,1.09,4.85,66.53,6.67,2.11,-7.54,3.21,0.00,0.00,6.00
Balrampur Chini,500038,BALRAMCHIN,Sugar,159.65,1,0,121.74,72.00,173.90,4231.74,603.73,3512.30,0.83,29.15,19.69,16.57,5.82,83.59,0.04,17.38,14.46,5241.37,2081.86,2059.86,14.85,1.69,-6.72,0.83,6.74,10.01,1.63,3.16,9.97,153.61,0.00,41.10,6.00
Bandhan Bank,541153,BANDHANBNK,Banks - Private Sector,470.35,0,0,27.78,368.10,636.30,7208.44,2170.93,56118.28,3.91,,,9.07,25.85,36.87,,62.83,2.43,94068.59,11201.76,10008.66,335.56,5.01,19.13,7.79,16.52,18.34,0.64,4.32,,,0.00,82.26,5.00
Bank of Baroda,532134,BANKBARODA,Banks - Public Sector,91.30,0,0,6.60,85.65,144.00,52906.25,1100.10,35120.62,14.70,0.62,4.38,5.09,32.38,17.26,-1.23,51.21,1.05,671692.00,49954.12,49423.76,0.04,0.70,-24.24,0.66,19.21,0.00,0.00,4.10,5.51,-26.34,0.00,69.23,5.00
Bank of India,532149,BANKINDIA,Banks - Public Sector,61.10,0,0,4.09,58.70,110.15,41087.12,-5399.40,20022.00,13.56,-13.28,3.42,0.00,,6.51,,34.72,0.72,490314.03,42198.79,38921.13,-0.75,0.48,-2.18,0.49,24.97,0.00,0.00,8.23,1.46,,0.00,89.10,2.00
Bank of Maha,532525,MAHABANK,Banks - Public Sector,11.05,0,0,3.27,10.70,20.00,10981.69,-3583.79,6435.64,26.27,-29.70,2.84,0.00,,17.83,,11.48,0.41,148080.00,8810.38,2986.27,-1.57,1.12,-0.59,0.59,51.40,0.00,0.00,2.55,-1.92,,0.00,92.49,0.00
BASF India,500042,BASF,Chemicals,979.10,0,0,0.94,970.00,1849.00,6012.31,65.48,4238.52,0.65,1.55,5.13,0.37,,47.32,,1.81,0.16,5137.52,1412.89,1369.60,0.80,3.00,-54.95,0.70,30.46,26.48,0.51,1.80,6.35,,0.00,73.33,4.00
Bata India,500043,BATAINDIA,Leather / Leather Products,1736.95,0,0,108.49,833.10,1789.75,3013.30,347.84,22324.59,0.00,17.05,26.29,25.23,64.18,41.03,6.36,19.53,15.88,21485.59,1746.53,1682.27,15.65,12.78,64.77,7.41,32.46,24.37,0.36,3.09,7.23,10.09,0.00,52.96,9.00
Bayer Crop Sci.,506285,BAYERCROP,Pesticides / Agrochemicals - Multinational,3372.15,0,0,14.23,2952.00,4480.00,2517.50,149.70,11577.80,0.00,14.55,21.88,22.41,69.68,42.18,-18.58,10.62,25.40,11249.50,1883.40,1849.10,13.89,6.15,28.79,4.60,37.42,25.98,0.53,2.32,-3.37,-3.75,0.00,68.69,6.00
BEML Ltd,500048,BEML,Engineering,946.25,0,0,81.62,521.00,1034.90,3607.45,126.98,3940.19,0.18,4.24,7.02,37.15,31.03,220.29,0.52,8.25,4.24,4310.73,2187.11,2145.47,2.94,1.80,15.33,1.09,13.26,46.05,0.74,2.17,3.64,59.54,0.00,54.03,6.00
Berger Paints,509480,BERGEPAINT,Paints / Varnishes,433.45,1,0,66.71,260.00,444.80,6295.38,537.93,42093.62,0.21,22.33,29.14,36.95,78.25,50.82,5.39,15.44,20.62,42375.19,2472.70,2375.59,18.50,17.02,74.94,6.69,40.85,37.06,0.44,1.73,10.19,14.51,0.00,75.00,5.00
Bharat Dynamics,541143,BDL,Engineering,290.05,,0,29.49,224.00,345.00,3012.49,406.32,5316.07,0.00,23.66,36.22,30.00,13.08,13.02,,20.26,139.05,4950.14,2268.54,2085.26,18.60,2.34,63.66,1.76,6.60,30.01,2.39,1.48,,,0.00,87.75,6.00
Bharat Electron,500049,BEL,Electronics - Components,107.15,1,0,47.79,72.50,117.75,12084.06,1952.29,26108.09,0.00,20.07,27.51,36.76,13.37,19.28,0.85,24.00,224.77,25257.74,9018.91,8775.25,17.95,2.89,17.43,2.16,8.19,42.98,3.17,1.49,14.00,15.77,0.00,58.83,7.00
Bharat Forge,500493,BHARATFORG,Castings & Forgings,444.85,0,0,18.31,376.00,637.30,6386.90,1010.96,20711.71,0.59,17.98,18.48,27.07,20.49,35.07,0.93,28.61,14.20,23530.98,5396.92,5303.79,11.08,3.84,26.00,3.24,11.77,21.73,1.12,2.83,13.91,22.11,0.00,45.76,7.00
Bharti Airtel,532454,BHARTIARTL,Telecommunications - Service Provider,350.95,0,0,38.06,254.20,378.75,81993.70,-2553.80,180106.20,1.75,2.64,7.16,149.60,,102.96,,33.10,0.45,297429.00,72044.40,69478.90,0.99,2.52,9.10,2.20,10.74,244.04,0.55,0.71,-1.21,,0.00,62.71,3.00
Bharti Infra.,534816,INFRATEL,Transmisson Line Towers / Equipment,249.00,0,0,4.32,238.70,335.00,6854.60,2742.80,46055.25,0.00,14.66,20.32,107.61,16.79,31.70,1.71,47.69,-9.78,46059.25,14531.60,12682.00,14.04,3.17,14.58,6.72,10.54,111.25,6.02,0.71,-8.81,9.82,0.00,53.51,7.00
Biocon,532523,BIOCON,Pharmaceuticals - Indian - Bulk Drugs & Formln,222.15,0,0,5.26,211.05,345.00,5856.50,991.90,26658.00,0.40,11.00,11.54,10.85,32.16,38.71,2.69,26.31,17.35,28025.80,6398.00,5798.00,6.67,4.37,23.09,4.55,16.63,6.63,0.23,1.95,13.89,11.95,0.00,60.67,8.00
Birla Corpn.,500335,BIRLACORPN,Cement - North India,561.60,0,0,27.69,439.80,688.95,6778.06,312.45,4324.88,0.90,5.13,7.47,25.97,13.84,21.94,0.82,16.04,2.21,8235.12,4495.22,4418.21,2.42,0.96,4.06,0.64,7.11,22.59,1.34,0.93,16.77,16.85,0.00,62.90,8.00
Bliss GVS Pharma,506197,BLISSGVS,Pharmaceuticals - Indian - Formulations,101.65,1,0,37.83,73.75,190.00,904.44,120.45,1048.01,0.16,18.33,28.92,11.14,8.70,20.28,0.35,18.35,45.02,1043.32,645.99,635.68,13.41,1.62,26.23,1.16,5.44,8.33,0.98,4.75,21.12,25.04,0.00,41.53,7.00
Blue Dart Exp.,526612,BLUEDART,Couriers,2481.65,0,0,15.49,2148.85,3700.00,3219.23,70.11,5888.96,0.22,21.60,25.72,26.78,84.00,124.85,-12.86,5.39,6.14,5768.19,664.74,641.01,14.76,8.86,37.46,1.83,30.13,33.90,0.50,1.50,10.37,-6.53,0.00,75.00,6.00
Blue Star,500067,BLUESTARCO,Air-conditioners,798.70,1,0,57.44,507.30,835.00,5302.46,175.29,7692.59,0.40,20.42,22.52,58.53,41.67,44.01,2.10,6.12,6.56,7939.21,873.06,853.80,13.56,8.81,29.21,1.45,21.59,50.67,1.25,1.31,12.27,19.84,0.00,38.76,7.00
Bombay Burmah,501425,BBTC,Tea,1129.95,0,0,53.32,737.00,1440.00,11423.20,888.67,7883.88,0.20,14.35,34.85,1.65,8.89,12.23,0.25,14.73,35.89,8648.47,4763.75,4749.79,8.26,1.65,7.14,0.69,3.70,0.79,0.09,1.73,9.46,35.70,4.66,65.93,8.00
Bombay Dyeing,500020,BOMDYEING,Textiles - Processing,73.70,0,0,21.42,60.70,151.75,4680.87,1367.88,1522.16,21.50,74.97,25.39,17.60,1.12,65.17,0.01,39.25,3.62,5415.18,180.62,139.31,11.41,8.43,-2.06,0.33,2.87,2.52,2.04,3.47,10.78,118.88,0.00,53.68,5.00
Bosch,500530,BOSCHLTD,Auto Ancillaries,13247.50,0,0,4.32,12698.80,20500.00,11824.58,1447.01,39071.70,0.00,16.97,24.55,23.51,26.00,45.41,1.88,17.07,146.75,37819.00,9126.19,9096.70,16.30,4.28,64.55,3.30,14.56,19.38,0.79,2.06,6.96,13.80,0.00,70.54,7.00
Britannia Inds.,500825,BRITANNIA,Food - Processing - MNC,2919.55,1,0,26.94,2300.00,3583.75,11211.34,1151.98,70162.13,0.04,32.85,47.32,30.28,60.39,45.90,2.45,15.49,107.38,70208.33,4253.25,4229.22,31.30,16.50,60.70,6.26,35.64,31.10,0.51,1.56,9.84,24.66,0.00,50.66,5.00
C P C L,500110,CHENNPETRO,Refineries,169.45,0,0,5.22,161.05,301.00,41974.41,-602.80,2523.30,1.59,16.04,13.83,20.19,,4.87,,-0.10,-1.08,8634.17,3309.51,3160.60,7.00,0.76,-17.41,0.06,665.19,0.00,0.00,1.31,-3.50,5.81,0.00,67.29,4.00
Cadila Health.,532321,CADILAHC,Pharmaceuticals - Indian - Bulk Drugs & Formln,234.15,1,0,13.42,206.45,404.00,13768.20,1691.90,23970.93,0.76,21.13,16.46,20.53,14.17,24.80,0.84,21.50,9.91,31221.03,10386.30,10283.90,12.48,2.31,8.32,1.74,10.13,19.39,1.50,1.99,12.75,16.84,0.00,74.79,4.00
Can Fin Homes,511196,CANFINHOME,Finance - Housing,394.05,0,0,82.01,216.50,424.70,1810.56,299.76,5246.94,9.37,21.00,10.07,9.86,17.50,17.76,0.56,94.47,1.39,21521.13,1782.18,1755.55,1.92,2.94,-2.25,2.90,12.56,8.97,0.51,1.97,24.48,31.36,0.00,30.11,5.00
Canara Bank,532483,CANBK,Banks - Public Sector,178.10,0,0,4.43,170.55,302.10,46896.72,601.85,13415.29,16.99,-1.86,4.85,1.47,22.18,15.23,-0.87,49.66,0.93,587049.71,37689.23,36935.99,-0.11,0.36,0.74,0.29,19.15,0.00,0.00,3.02,3.46,-25.46,0.00,70.62,7.00
Caplin Point Lab,524742,CAPLIPOINT,Pharmaceuticals - Indian - Formulations,418.35,1,0,41.31,296.05,490.00,694.78,189.38,3164.51,0.00,44.34,57.04,10.58,16.71,20.39,0.25,35.36,4844.00,3012.06,529.12,513.99,45.48,5.00,37.91,4.55,11.26,9.42,0.53,3.96,38.56,65.81,0.00,69.03,4.00
Carborundum Uni.,513375,CARBORUNIV,Abrasives And Grinding Wheels,294.20,0,0,11.02,265.00,418.85,2725.96,238.08,5568.14,0.05,14.44,20.13,19.87,23.39,29.15,1.05,15.63,42.35,5562.60,1724.11,1705.19,12.42,3.23,27.59,2.04,11.91,21.01,0.93,3.41,4.89,22.37,0.10,42.10,6.00
