comp_id, comp_name, hold_qty, hold_price, hold_units, last_txn_type, last_txn_date
NATALU,NATIONAL ALUMINIUM CO LTD,262006,2916,2,Buy,01-Sep-2017
ZEELEA,ZEE LEARN LIMITED,2522,2065,2,Buy,01-Nov-2017
MARLIM,MARICO LIMITED,43,2229,2,Buy,02-Jan-2018
DLFLIM,DLF LIMITED,55432099,8597,8,Buy,02-Jan-2018
VOLTAS,VOLTAS LTD,22,2126,2,Buy,01-Nov-2017
AVESUP,AVENUE SUPERMARTS LTD DMART,1,1231,1,Buy,16-Oct-2017
NBCC,NBCC (INDIA) LIMITED,55,2055,2,Buy,04-Apr-2018
TUBIN,TUBE INVESTMENTS OF INDIA LTD,5,1195,1,Buy,04-Apr-2018
UNIBR,UNITED BREWERIES LTD,11,1856,1,Buy,01-Nov-2017
ASIPAI,ASIAN PAINTS INDIA LTD,11111111,8215,8,Buy,06-Dec-2017
MOTSUM,MOTHERSON SUMI SYSTEMS LIMITED,312,2082,2,Buy,06-Dec-2017
RELGOL,RELIANCE SHARES GOLD ETF,111105,-128,-1,Sell,04-Nov-2016
LICHF,LIC HOUSING FINANCE LIMITED,21,2060,2,Buy,01-Nov-2017
BLUSTA,BLUE STAR LTD,1,731,0,Buy,28-Nov-2017
SHRTRA,SHRIRAM TRANSPORT FINANCE CO,1,1062,1,Buy,03-Oct-2017
ICI100,ICICI PRUDENTIAL NIFTY 100 ETF,988889,5645,5,Buy,21-Mar-2018
HERHON,HERO MOTOCORP LIMITED,10,3916,3,Buy,09-Jun-2017
GRASIM,GRASIM INDUSTRIES LIMITED,10,1746,1,Buy,16-Oct-2017
ANDBAN,ANDHRA BANK,351351,1699,1,Sell,11-Nov-2008
SHOSTO,SHOPPERS STOP LIMITED,32,2055,2,Buy,01-Feb-2018
POWFIN,POWER FINANCE CORPORATION LTD,98,2211,2,Buy,01-Nov-2017
MTNL,MAHANAGAR TELEPHONE NIGAM LTD,2475,1345,1,Sell,11-Nov-2008
AVAFEE,AVANTI FEEDS LTD,11,4049,4,Buy,06-Dec-2017
ICIPRU,ICICI PRUDENTIAL LIFE INS CO,33,2436,2,Buy,01-Nov-2017
GIC,GENERAL INSURANCE CORP INDIA,2,1598,1,Buy,25-Oct-2017
SOBDEV,SOBHA LIMITED,3,1161,1,Buy,08-Jun-2017
PIIND,P I INDUSTRIES LTD,1,883,0,Buy,02-Feb-2018
ZEEENT,ZEE ENTERTAINMENT ENTERPRISES,101122111,6052,6,Buy,06-Dec-2017
BAYIND,BAYER CROPSCIENCE LIMITED,1,4716,4,Buy,09-Jun-2017
BALIND,BALKRISHNA INDUSTRIES LTD,11,1702,1,Buy,02-Jan-2018
STABAN,STATE BANK OF INDIA,1110989,2112,2,Buy,05-May-2017
WESDEV,WESTLIFE DEVELOPMENT LTD,4,952,0,Buy,08-Sep-2017
HCLTEC,HCL TECHNOLOGIES LIMITED,34111104,1432,1,Buy,27-Feb-2017
HINZIN,HINDUSTAN ZINC LTD,102023,2090,2,Buy,02-Jan-2018
QUECOR,QUESS CORP LIMITED,1,1006,1,Buy,01-Feb-2018
GILIND,GILLETTE INDIA LTD,1,4863,4,Buy,12-Jun-2017
PFIZER,PFIZER LTD,46,2506,2,Buy,19-Sep-2017
CNKLIM,COX & KINGS LIMITED,44,2060,2,Buy,01-Feb-2018
INFEDG,INFO EDGE (INDIA) LIMITED,11,2190,2,Buy,18-Sep-2017
WIPRO,WIPRO LTD,1014111110560,6380,6,Buy,21-Jun-2017
CORINT,COROMANDEL INTERNATIONAL LIMIT,32,2275,2,Buy,01-Nov-2017
MARUTI,MARUTI SUZUKI INDIA LTD,7390,11300,11,Buy,09-Jun-2017
HDFC,HOUSING DEVELOPMENT FINANCE CO,11111111,10973,10,Buy,06-Dec-2017
VSTTIL,VSTTILLERS TRACTORS LTD,1,2034,2,Buy,12-Jun-2017
ADIBIR,ADITYA BIRLA NUVO LIMITED,0,264,0,Sell,14-Nov-2008
JSWSTE,JSW STEEL LIMITED,55,2200,2,Buy,06-Dec-2017
SUZENE,SUZLON ENERGY LIMITED,408726,1548,1,Sell,01-Jan-2013
INDHOT,INDIAN HOTELS CO LTD,25108535,9869,9,Buy,06-Dec-2017
KAJCER,KAJARIA CERAMICS LTD,111,2089,2,Buy,01-Nov-2017
NILLIM,NILKAMAL LIMITED,1,1968,1,Buy,14-Jun-2017
BAAUTO,BAJAJ AUTO LIMITED,11,5594,5,Buy,04-Apr-2018
VARBEV,VARUN BEVERAGES LIMITED,22,2466,2,Buy,02-Jan-2018
APOHOS,APOLLO HOSPITALS ENTERPRISES L,51,7209,7,Buy,06-Dec-2017
BERPAI,BERGER PAINTS INDIA LTD,44,2032,2,Buy,01-Feb-2018
WHIIND,WHIRLPOOL OF INDIA LTD,11,2696,2,Buy,04-Apr-2018
VEDLIM,VEDANTA LIMITED,20,5100,5,Buy,25-Jan-2017
CRISIL,CRISIL LIMITED,11,3725,3,Buy,04-Apr-2018
JUBFOO,JUBILANT FOODWORKS LIMITED,11,3017,3,Buy,01-Feb-2018
BRIENT,BRIGADE ENTERPRISES LIMITED,4,1072,1,Buy,08-Jun-2017
TALWAL,TALWALKARS BETTER VALUE FITNES,44,2348,2,Buy,01-Feb-2018
NATMIN,NMDC LIMITED,107,2247,2,Buy,01-Feb-2018
RAJEXP,RAJESH EXPORTS LIMITED,141988,3638,3,Buy,04-Apr-2018
COLPAL,COLGATE-PALMOLIVE (INDIA) LTD,11,2164,2,Buy,04-Apr-2018
MRFTYR,MRF LTD,0,-2444,-3,Sell,08-Nov-2017
KRBL,KRBL LIMITED,2,970,0,Buy,22-Sep-2017
HINPET,HINDUSTAN PETROLEUM CORP,12104790,3140,3,Buy,02-Jan-2018
SANOFI,SANOFI INDIA LTD,1,4052,4,Buy,19-Sep-2017
PETLNG,PETRONET LNG LIMITED,54,2038,2,Buy,01-Feb-2018
INDIBA,INDIAN BANK,1089,-30,-1,Sell,11-Nov-2008
LARTOU,LARSEN AND TOUBRO LIMITED,121120,6892,6,Buy,04-Apr-2018
PREEST,PRESTIGE ESTATES PROJECTS LIMI,4,1008,1,Buy,08-Jun-2017
SCI,SHIPPING CORP OF INDIA LT,1215,2133,2,Buy,04-Apr-2018
RELFOO,RELAXO FOOTWEARS LIMITED,112,2298,2,Buy,02-Jan-2018
BRIIND,BRITANNIA INDUSTRIES LTD,11,8708,8,Buy,04-Apr-2018
JKPAP,JK PAPER LIMITED,10,1050,1,Buy,02-Jun-2017
TCS,TATA CONSULTANCY SERVICES LTD,10211030000,16987,16,Buy,20-Mar-2017
BATIND,BATA INDIA LIMITED,22,2560,2,Buy,06-Dec-2017
FUTRE,FUTURE RETAIL LIMITED,32,2286,2,Buy,01-Feb-2018
CADHEA,CADILA HEALTHCARE LIMITED,2,970,0,Buy,19-Sep-2017
GLEPHA,GLENMARK PHARMACEUTICALS LTD,2,1228,1,Buy,19-Sep-2017
INDCEM,INDIA CEMENTS LTD,0,924,0,Sell,11-Nov-2008
KSBPUM,KSB PUMPS LIMITED,21,2194,2,Buy,04-Apr-2018
DRREDD,DR REDDY'S LABORATORIES LTD,10311329,4120,4,Buy,04-Apr-2018
NAGCON,NCC LIMITED,129,2232,2,Buy,04-Apr-2018
SATCOM,SATYAM COMPUTER SERVICES LTD,-51567030,15342,15,Sell,01-Jan-2013
CROGR,CROMPTON GREAVES CONS ELEC LTD,4,1024,1,Buy,28-Nov-2017
CARUNI,CARBORUNDUM UNIVERSAL LTD,4,1312,1,Buy,17-Oct-2017
ASIGRA,ASIAN GRANITO INDIA LIMITED,2,1064,1,Buy,02-Feb-2018
TATCHE,TATA CHEMICALS LTD,319,2762,2,Buy,04-Apr-2018
ALLLOG,ALLCARGO LOGISTICS LTD,5,945,0,Buy,02-Feb-2018
SBIGOL,SBI-ETF GOLD,111111111111111111112211411111231,112076,112,Buy,09-Apr-2018
LUPIN,LUPIN LIMITED,111111,8943,8,Buy,28-Feb-2017
HINLEV,HINDUSTAN UNILEVER LIMITED,5528230,2393,2,Buy,04-Apr-2018
ONGC,OIL AND NATURAL GAS CORPORATIO,52111262590,3130,3,Buy,06-Dec-2017
KANNER,KANSAI NEROLAC PAINTS,32,2353,2,Buy,02-Jan-2018
DISHTV,DISH TV INDIA LIMITED,1315,2111,2,Buy,01-Feb-2018
GOLDEX,RELIANCE ETF GOLD BEES,12282111111111611111510511111,154724,154,Buy,17-Oct-2017
NESIND,NESTLE INDIA LIMITED,1,6634,6,Buy,09-Jun-2017
ORIBAN,ORIENTAL BANK OF COMMERCE,1440,910,0,Sell,11-Nov-2008
UNIP,UPL LIMITED,7,5152,5,Buy,25-Jan-2017
HDFGOL,HDFC GOLD ETF,11111111111111111110211,87941,87,Buy,15-Dec-2017
TITIND,TITAN COMPANY LIMITED,2211,3771,3,Buy,04-Apr-2018
CAIIND,CAIRN INDIA LIMITED,0,372,0,Sell,11-Feb-2013
AMARAJ,AMARA RAJA BATTERIES LTD,1,879,0,Buy,05-Jun-2017
APOTYR,APOLLO TYRES LTD,54,2255,2,Buy,01-Feb-2018
UNIBAN,UNION BANK OF INDIA,0,-231,-1,Sell,05-Aug-2008
THOCOO,THOMAS COOK (INDIA) LTD,523,2275,2,Buy,01-Feb-2018
ARVLIM,ARVIND LIMITED,3,1233,1,Buy,18-Sep-2017
ICILOM,ICICI LOMBARD GEN INSURANCE CO,2,1354,1,Buy,27-Sep-2017
BHA22,ICICI PRUD MF BHARAT 22 ETF,278,9730,9,Buy,27-Nov-2017
SBILIF,SBI LIFE INSURANCE COMPANY LTD,2,1436,1,Buy,03-Oct-2017
EIDPAR,EID PARRY (INDIA) LTD,33,1977,1,Buy,01-Feb-2018
ABBIND,ABBOTT INDIA LIMITED,1,4088,4,Buy,19-Sep-2017
HSILIM,HSIL LIMITED,33,2379,2,Buy,04-Apr-2018
ADAPOR,ADANI PORT AND SPECIAL ECONO,3,1128,1,Buy,29-Sep-2017
NTPC,NTPC LIMITED,74533316181,7043,7,Buy,06-Dec-2017
RALIND,RALLIS INDIA LTD,55,2405,2,Buy,04-Apr-2018
GODPRO,GODREJ PROPERTIES LIMITED,2,1040,1,Buy,08-Jun-2017
BALCHI,BALRAMPUR CHINI MILLS LTD,8,1272,1,Buy,13-Nov-2017
ACC,ACC LIMITED,540290,3923,3,Buy,01-Nov-2017
HINDAL,HINDALCO INDUSTRIES LIMITED,61038,1705,1,Buy,01-Sep-2017
AEGLOG,AEGIS LOGISTICS LTD,4,1072,1,Buy,02-Feb-2018
SHRCEM,SHREE CEMENTS LTD,0,-6,-1,Sell,08-Nov-2017
PUNBAN,PUNJAB NATIONAL BANK,0,-119,-1,Sell,11-Feb-2013
VENIND,VENKYS INDIA LIMITED,1,2089,2,Buy,22-Sep-2017
MAHLO,MAHINDRA LOGISTICS LIMITED,2,950,0,Buy,02-Feb-2018
CONCOR,CONTAINER CORPORATION OF INDIA,5501,4474,4,Buy,04-Apr-2018
RELPOW,RELIANCE POWER LIMITED,17355097890,21896,21,Sell,11-Nov-2008
UNISPI,UNITED SPIRITS LIMITED,140,12586,12,Buy,06-Dec-2017
KOTMAH,KOTAK MAHINDRA BANK LTD,11,2049,2,Buy,04-Apr-2018
SHEFOA,SHEELA FOAM LIMITED,1,1608,1,Buy,02-Feb-2018
SKFIND,SKF INDIA LIMITED,127,1814,1,Buy,02-Jun-2017
VIJBAN,VIJAYA BANK,54945,1488,1,Sell,11-Nov-2008
MUTFIN,MUTHOOT FINANCE LIMITED,211,1737,1,Buy,01-Nov-2017
CDSL,CENTRAL DEPOSITORY SER IND LTD,3,1020,1,Buy,28-Sep-2017
PIRENT,PIRAMAL ENTERPRISES LIMITED,11,5399,5,Buy,04-Apr-2018
JAIASS,JAIPRAKASH ASSOCIATES LIMITED,567,54,0,Sell,11-Feb-2013
KOTGOL,KOTAK  GOLD ETF,11121518055101010102840101046,80172,80,Buy,20-Dec-2017
ADIFAS,ADITYA BIRLA FASHION & RTL LTD,67,2081,2,Buy,04-Apr-2018
HITHOM,JOHNSON CONTROLS HITACHI AIR I,1,2064,2,Buy,17-Oct-2017
POWGRI,POWER GRID CORPORATION OF INDI,1055555525,5092,5,Buy,27-Feb-2017
IFBIND,IFB INDUSTRIES LIMITED,1,1359,1,Buy,28-Nov-2017
ANSPRO,ANSAL PROPERTIES & INFRASTRUCT,990,1270,1,Sell,11-Nov-2008
FUTLIF,FUTURE LIFESTYLE FASHIONS LTD,33,2160,2,Buy,01-Feb-2018
INFTEC,INFOSYS LTD,11121111110,9275,9,Buy,17-Mar-2017
JAIIRR,JAIN IRRIGATION SYSTEMS LTD,10,1140,1,Buy,29-Nov-2017
HDFSTA,HDFC STANDARD LIFE INS CO LTD,3,1035,1,Buy,17-Nov-2017
BSE,BSE LIMITED,1,982,0,Buy,28-Sep-2017
KOTNIF,KOTAK MAHINDRA MF - NIFTY ETF,1010101019999999,10488,10,Buy,15-Mar-2018
BANBAR,BANK OF BARODA,-18,-446,-1,Sell,11-Nov-2008
CERSAN,CERA SANITARYWARE LIMITED,1,3037,3,Buy,14-Jun-2017
GODCON,GODREJ CONSUMER PRODUCTS LTD,1,935,0,Buy,25-Sep-2017
AKZNOB,AKZO NOBEL INDIA LIMITED,1,1810,1,Buy,17-Jul-2017
ASAIND,ASAHI INDIA GLASS LIMITED,35377,3306,3,Buy,06-Dec-2017
BHAELE,BHARAT ELECTRONICS LTD,5215,7336,7,Buy,04-Apr-2018
TATELX,TATA ELXSI LIMITED,6885,2380,2,Sell,11-Nov-2008
OMALIM,OMAXE LIMITED,25510100940,13660,13,Sell,11-Nov-2008
CANBAN,CANARA BANK,1296,581,0,Sell,11-Nov-2008
EICMOT,EICHER MOTORS LTD,0,1344,1,Sell,08-Nov-2017
BAFINS,BAJAJ FINSERV LIMITED,1,5618,5,Buy,19-Sep-2017
IDBI,IDBI BANK LIMITED,0,-225,-1,Sell,05-Aug-2008
SOMCER,SOMANY CERAMICS LIMITED,1,857,0,Buy,13-Nov-2017
CENBAN,CENTRAL BANK OF INDIA,4950,2830,2,Sell,11-Nov-2008
UNITEC,UNITECH LTD,1004400,3018,3,Sell,01-Jan-2013
GODAGR,GODREJ AGROVET LIMITED,2,1180,1,Buy,16-Oct-2017
CHAFER,CHAMBAL FERTILISERS & CHEMICAL,7,1008,1,Buy,16-Oct-2017
BLUDAR,BLUE DART EXPRESS LTD,1,4426,4,Buy,30-May-2017
CARE,CARE RATINGS LIMITED,11,2841,2,Buy,01-Feb-2018
CASIND,CASTROL INDIA LIMITED,246,2424,2,Buy,04-Jan-2018
TVSMOT,TVS MOTOR COMPANY LIMITED,22,2318,2,Buy,01-Sep-2017
GODIND,GODREJ INDUSTRIES LIMITED,2,1218,1,Buy,16-Oct-2017
PCJEW,PC JEWELLER LIMITED,4,1020,1,Buy,02-Aug-2017
EIHLIM,EIH LIMITED,87,2086,2,Buy,02-Jan-2018
INDHO,INDIABULLS HOUSING FINANCE LTD,1,1242,1,Buy,03-Oct-2017
STEIND,STERLITE INDUSTRIES (INDIA) LT,9,353,0,Sell,11-Feb-2013
ITC,ITC LIMITED,522211215222222218923,5611,5,Buy,02-Nov-2017
ALLBAN,ALLAHABAD BANK,307692,1963,1,Sell,11-Nov-2008
3MIND,3M INDIA LIMITED,0,-1935,-2,Sell,08-Nov-2017
RURELE,RURAL ELECTRIFICATION CORPORAT,4125,4612,4,Buy,01-Nov-2017
HUDCO,HOUSING URBAN DEV CO LTD HUDCO,12,1056,1,Buy,19-Sep-2017
PURPRO,PURAVANKARA LIMITED,1010147,4659,4,Buy,04-Apr-2018
SAIL,STEEL AUTHORITY OF INDIA LTD,0,-295,-1,Sell,29-Dec-2017
CEAT,CEAT LIMITED,1,1891,1,Buy,11-Jul-2017
GLACON,GLAXOSMITHKLINE CONSUMER HEALT,1,5069,5,Buy,19-Sep-2017
KAVSEE,KAVERI SEED COMPANY LTD,2,998,0,Buy,02-Feb-2018
BHAINF,BHARTI INFRATEL LIMITED,3,1227,1,Buy,03-Oct-2017
ICIMID,ICICI PRU MIDCAP SELECT ETF,1313121414,4805,4,Buy,07-Mar-2018
VIPIND,VIP INDUSTRIES LTD,513,2231,2,Buy,02-Jan-2018
COALIN,COAL INDIA LIMITED,4273322222218,10064,10,Buy,27-Nov-2017
EMALIM,EMAMI LIMITED,11,2412,2,Buy,02-Jan-2018
ICIBAN,ICICI BANK LIMITED,420604,5251,5,Buy,06-Dec-2017
TATSTE,TATA STEEL LIMITED,2306,4464,4,Buy,25-Jan-2017
TTKPRE,TTK PRESTIGE LTD,1,6364,6,Buy,18-Jul-2017
PARDE,PARSVNATH DEVELOPERS LIMITED,2461010111105463,18610,18,Sell,11-Nov-2008
OILIND,OIL INDIA LIMITED,433,2192,2,Buy,06-Apr-2018
RELINF,RELIANCE INFRASTRUCTURE LTD,0,27,0,Sell,11-Nov-2008
UTGOLD,UTI GOLD ETF,12111814141511111113111,108370,108,Buy,10-Apr-2018
IDECEL,IDEA CELLULAR LTD,10101048915,2368,2,Buy,01-Nov-2017
SIEMEN,SIEMENS LTD,209,2789,2,Buy,02-Jan-2018
HOTLEE,HOTEL LEELA VENTURE LIMITED,0,375,0,Sell,11-Nov-2008
IVRPRI,IVRCL Assets & Holdings Limite,-297,2192,2,Sell,20-Nov-2008
CIPLA,CIPLA LIMITED,481,811,0,Buy,02-Jan-2018
AMBCE,AMBUJA CEMENTS LTD,251212549194,1977,1,Buy,02-Jan-2018
INDTOU,INDIA TOURISM DEVELOPMENT CORP,9,-12,-1,Sell,27-Dec-2017
DABIND,DABUR INDIA LTD,43,2179,2,Buy,02-Jan-2018
FORHEA,FORTIS HEALTHCARE LIMITED,571,2040,2,Buy,04-Apr-2018
TRENT,TRENT LTD (LAKME LTD),43,2035,2,Buy,04-Apr-2018
FUTSUP,FUTURE SUPPLY CHAIN SOL LTD,2,1344,1,Buy,02-Feb-2018
MAHHOL,MAHINDRA HOLIDAYS & RESORTS IN,213,2184,2,Buy,02-Jan-2018
AURPHA,AUROBINDO PHARMA LTD,21,2145,2,Buy,02-Jan-2018
TECMAH,TECH MAHINDRA LIMITED,42,2764,2,Buy,01-Feb-2018
NHPC,NHPC LIMITED,40,1080,1,Buy,03-Oct-2017
ABB,ABB INDIA LIMITED,110,3062,3,Buy,02-Jan-2018
ULTCEM,ULTRATECH CEMENT LIMITED,39,12123,12,Buy,25-Jan-2017
BHEL,BHARAT HEAVY ELECTRICALS LTD,1410507,2743,2,Buy,04-Apr-2018
TUBINV,TI FINANCIAL HOLDINGS LIMITED,2,1366,1,Buy,02-Jun-2017
NEYLIG,NLC INDIA LIMITED,12,1116,1,Buy,03-Oct-2017
HONAUT,HONEYWELL AUTOMATION INDIA LTD,0,-2553,-3,Sell,08-Nov-2017
BHAPET,BHARAT PETROLEUM CORPN LTD,271410080,1542,1,Buy,02-Jan-2018
TATMOT,TATA MOTORS LIMITED,1211534,-2231,-3,Buy,08-Sep-2017
EXIIND,EXIDE INDUSTRIES LTD,5,1105,1,Buy,16-Jun-2017
RELCOM,RELIANCE COMMUNICATIONS LIMITE,124002,6285,6,Sell,01-Jan-2013
HDFBAN,HDFC BANK LIMITED,1413111111111111105,15451,15,Buy,14-Mar-2017
INTAVI,INTERGLOBE AVIATION LIMITED,11,2308,2,Buy,01-Nov-2017
BASF,BASF INDIA LIMITED,11,3376,3,Buy,04-Apr-2018
COFDAY,COFFEE DAY ENTERPRISES LTD,44,2208,2,Buy,04-Apr-2018
ICRLIM,ICRA LIMITED,1,4139,4,Buy,22-Jun-2017
FUTVEN,FUTURE CONSUMER LIMITED,20,1140,1,Buy,02-Feb-2018
PVRLIM,PVR LIMITED,11,2848,2,Buy,02-Jan-2018
TATPOW,TATA POWER CO LTD,11311,2127,2,Buy,04-Apr-2018
FUTRET,FUTURE ENTERPRISES LIMITED,0,-33,-1,Sell,11-Nov-2008
PAGIND,PAGE INDUSTRIES LTD,0,-3937,-4,Sell,08-Nov-2017
VRLLOG,VRL LOGISTICS LIMITED,33,2298,2,Buy,01-Feb-2018
MAHMAH,MAHINDRA & MAHINDRA LIMITED,105550906,4502,4,Buy,28-Dec-2017
EVEIND,EVEREADY INDUSTRIES INDIA LTD,33,1959,1,Buy,01-Nov-2017
ADAENT,ADANI ENTERPRISES LIMITED,7217,2181,2,Buy,06-Dec-2017
HAVIND,HAVELLS INDIA LIMITED,3,1431,1,Buy,31-Jul-2017
