Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
503101,MARATHON,MARATHON NEXTGEN REALTY LTD.,05 Apr 2018,Stock  Split From Rs.10/- to Rs.5/-,06 Apr 2018,-,-,28 Mar 2018,05 Apr 2018,-
540696,KCDGROUP,KCD Industries India Ltd,10 Apr 2018,Stock  Split From Rs.10/- to Rs.5/-,11 Apr 2018,-,-,04 Apr 2018,10 Apr 2018,-
590006,AMRUTANJAN,AMRUTANJAN HEALTH CARE LTD.-$,13 Apr 2018,Stock  Split From Rs.2/- to Rs.1/-,16 Apr 2018,-,-,09 Apr 2018,13 Apr 2018,-
539310,TISL,Think Ink Studio Ltd,17 Apr 2018,Stock  Split From Rs.10/- to Rs.1/-,18 Apr 2018,-,-,11 Apr 2018,17 Apr 2018,-
507552,FOODSIN,FOODS & INNS LTD.,19 Apr 2018,Stock  Split From Rs.10/- to Rs.1/-,20 Apr 2018,-,-,13 Apr 2018,19 Apr 2018,-
506590,PHILIPCARB,PHILLIPS CARBON BLACK LTD.,19 Apr 2018,Stock  Split From Rs.10/- to Rs.2/-,20 Apr 2018,-,-,13 Apr 2018,19 Apr 2018,-
539148,SHIVALIK,Shivalik Rasayan Ltd,19 Apr 2018,Stock  Split From Rs.10/- to Rs.5/-,20 Apr 2018,-,-,13 Apr 2018,19 Apr 2018,-
539620,AINFRA,A Infrastructure Ltd,20 Apr 2018,Stock  Split From Rs.10/- to Rs.5/-,23 Apr 2018,-,-,16 Apr 2018,20 Apr 2018,-
534309,NBCC,NBCC (India) Ltd,25 Apr 2018,Stock  Split From Rs.2/- to Rs.1/-,26 Apr 2018,-,-,19 Apr 2018,25 Apr 2018,-
506373,CITURGIA,CITURGIA BIOCHEMICALS LTD.,26 Apr 2018,Stock  Split From Rs.10/- to Rs.2/-,30 Apr 2018,-,-,23 Apr 2018,26 Apr 2018,-
539228,GGPL,Gala Global Products Ltd,10 May 2018,Stock  Split From Rs.10/- to Rs.5/-,12 May 2018,-,-,07 May 2018,10 May 2018,-
502850,ZGAEKWAR,GAEKWAR MILLS LTD.,31 May 2018,Stock  Split From Rs.100/- to Rs.10/-,01 Jun 2018,-,-,25 May 2018,31 May 2018,-
532796,LUMAXTECH,LUMAX AUTO TECHNOLOGIES LTD.,07 Jun 2018,Stock  Split From Rs.10/- to Rs.2/-,08 Jun 2018,-,-,01 Jun 2018,07 Jun 2018,-
537766,BCP,B.C. Power Controls Ltd,14 Jun 2018,Stock  Split From Rs.10/- to Rs.2/-,15 Jun 2018,-,-,08 Jun 2018,14 Jun 2018,-
532432,UNITDSPR,UNITED SPIRITS LTD.,15 Jun 2018,Stock  Split From Rs.10/- to Rs.2/-,18 Jun 2018,-,-,11 Jun 2018,15 Jun 2018,-
531518,VIKASPROP,Vikas Proppant & Granite Ltd,22 Jun 2018,Stock  Split From Rs.10/- to Rs.1/-,25 Jun 2018,-,-,18 Jun 2018,22 Jun 2018,-
532646,UNIPLY,UNIPLY INDUSTRIES LTD.,25 Jun 2018,Stock  Split From Rs.10/- to Rs.2/-,26 Jun 2018,-,-,19 Jun 2018,25 Jun 2018,-
512573,AVANTI,AVANTI FEEDS LTD.-$,26 Jun 2018,Stock  Split From Rs.2/- to Rs.1/-,27 Jun 2018,-,-,20 Jun 2018,26 Jun 2018,-
531344,CONCOR,CONTAINER CORPORATION OF INDIA LTD.,26 Jun 2018,Stock  Split From Rs.10/- to Rs.5/-,27 Jun 2018,-,-,20 Jun 2018,26 Jun 2018,-
526227,FILATEX,FILATEX INDIA LTD.-$,27 Jun 2018,Stock  Split From Rs.10/- to Rs.2/-,28 Jun 2018,-,-,21 Jun 2018,27 Jun 2018,-
523151,OTCO,OTCO INTERNATIONAL LTD.,10 Jul 2018,Stock  Split From Rs.10/- to Rs.2/-,11 Jul 2018,-,-,04 Jul 2018,10 Jul 2018,-
533265, GALLISPAT,GALLANTT ISPAT LTD.,07 Aug 2018,Stock  Split From Rs.10/- to Rs.1/-,08 Aug 2018,-,-,01 Aug 2018,07 Aug 2018,-
506414,FERMENTA,Fermenta Biotech Ltd,08 Aug 2018,Stock  Split From Rs.10/- to Rs.5/-,09 Aug 2018,-,-,02 Aug 2018,08 Aug 2018,-
500412,TIRUMALCHM,THIRUMALAI CHEMICALS LTD.,14 Aug 2018,Stock  Split From Rs.10/- to Rs.1/-,17 Aug 2018,-,-,09 Aug 2018,14 Aug 2018,-
504067,ZENSARTECH,ZENSAR TECHNOLOGIES LTD.,07 Sep 2018,Stock  Split From Rs.10/- to Rs.2/-,10 Sep 2018,-,-,03 Sep 2018,07 Sep 2018,-
539407,GENCON,Generic Engineering Construction and Projects Ltd,17 Sep 2018,Stock  Split From Rs.10/- to Rs.5/-,18 Sep 2018,-,-,10 Sep 2018,17 Sep 2018,-
536974,CPL,Captain Polyplast Ltd,19 Sep 2018,Stock  Split From Rs.10/- to Rs.2/-,21 Sep 2018,-,-,12 Sep 2018,19 Sep 2018,-
505283,KIRLPNU,KIRLOSKAR PNEUMATIC CO.LTD.,26 Sep 2018,Stock  Split From Rs.10/- to Rs.2/-,27 Sep 2018,-,-,19 Sep 2018,26 Sep 2018,-
522263,JMCPROJECT,JMC PROJECTS (INDIA) LTD.-$,04 Oct 2018,Stock  Split From Rs.10/- to Rs.2/-,05 Oct 2018,-,-,27 Sep 2018,04 Oct 2018,-
540750,IEX,Indian Energy Exchange Ltd,19 Oct 2018,Stock  Split From Rs.10/- to Rs.1/-,22 Oct 2018,-,-,12 Oct 2018,19 Oct 2018,-
533213,FRONTSEC,FRONTLINE SECURITIES LTD.,22 Oct 2018,Stock  Split From Rs.10/- to Rs.5/-,23 Oct 2018,-,-,15 Oct 2018,22 Oct 2018,-
521220,DAMOINDUS,DAMODAR INDUSTRIES LTD.-$,25 Oct 2018,Stock  Split From Rs.10/- to Rs.5/-,26 Oct 2018,-,-,19 Oct 2018,25 Oct 2018,-
531543,JINDWORLD,JINDAL WORLDWIDE LTD.,31 Oct 2018,Stock  Split From Rs.5/- to Rs.1/-,01 Nov 2018,-,-,25 Oct 2018,31 Oct 2018,-
519588,DFM,DFM FOODS LTD.,01 Nov 2018,Stock  Split From Rs.10/- to Rs.2/-,02 Nov 2018,-,-,26 Oct 2018,01 Nov 2018,-
539594,MISHTANN ,Mishtann Foods Ltd,01 Nov 2018,Stock  Split From Rs.10/- to Rs.1/-,02 Nov 2018,-,-,26 Oct 2018,01 Nov 2018,-
513693,KAJARIR,KIC METALIKS LTD.,02 Nov 2018,Stock  Split From Rs.10/- to Rs.2/-,05 Nov 2018,-,-,29 Oct 2018,02 Nov 2018,-
532713,SAKUMA,SAKUMA EXPORTS LTD.,12 Nov 2018,Stock  Split From Rs.10/- to Rs.1/-,13 Nov 2018,-,-,02 Nov 2018,12 Nov 2018,-
531859,ORVENPR,ORIENTAL VENEER PRODUCTS LTD.,14 Nov 2018,Stock  Split From Rs.10/- to Rs.1/-,15 Nov 2018,-,-,06 Nov 2018,14 Nov 2018,-
