Sectors,,Units,Company (First),Company (Second),Company (Third),Company (Fourth)
,,Total Units,Investment per Unit,Total Investment,,
,,1147,1000,1147000,,
,,,,,,
Group 1,,,,,,
Abrasives,Company,,Carborundum Universal ,Grindwell norton,,
,Details,Biggest players are CUMI - Murugappa group and Grindwell Norton (GNO).,(CUMI : JV with Murugappa group India and Carborundum USA). Also known as CUMI - Carborundum Universal of Madras India. Brilliant Investory presentation.,Grindwell norton (Saint Gobain group company in india : GNO - Grindwell norton  and Saint Gobain India). Saint Gobain India is supposed to merged to Grindwell Norton but facing oppossition. Earlier Saint Gobain had acquired Norton USA.,,
,Units,4,2,2,,
Aluminium,Company,,Hindalco,National aluminium,BALCO,
Minerals,Details,"Aluminium is used in food and beverages containers (cans, frames, foils etc) as it is corrosion resistant. Low-density metal. Light-weight.",Hindalco (Aditya Birla Group) ,"National aluminium company ltd - NALCO (Govt, Ministry of Mines)",Vedanata Resources (BALCO) : unlisted,
,Units,7,5,2,0,
Aquaculture,Company,,Avanti Feeds,Godrej AgroVet,IFB Agro,Kaveri Seed
,Details,Prawns Feed. IFB Agro and Godjrej AgroVet are its closest competitors but in varied feed. Included Agriculture seed also with animal feed.,"Avanti Feeds (Prawn, Fish, Shrimp feed, exporter)","Godrej AgroVet (Looks like a holding company of animal feed, palm oil, fertilizers, JV with tyson  etc).  Leader in Animal feeds. IFB Agro and Avanti feeds are its competitors. Difficult to arrive at right value.",IFB Agro (To be considered later ... Feed + Spirits),Kaveri Seed Company (Hybrid seed for agriculture)
,Units,7,2,2,0,3
Auto - 2 & 3 Wheelers,Company,,Hero Motocorp,Bajaj Auto,TVS Motor,Tube Investments of India Limited
Auto,Details,,Hero Motocorp : Hero had to break JV with Honda due to export control. Hero Honda could export only to Nepal and Sri lanka. Honda wanted a shared spares business for (Honda Motors Activa) to be shared with Hero Honda. (Share Price 4K),Bajaj Auto (Worlds largest three-wheeler manufacturer. Worlds sixth largest two-wheeler manufacturer) (Share Price : 2.8K),"TVS Motor Company (Flagship company of TVS group. TV Sundaram group. TVS-Suzuki alliance was over in 2001. The parent company is  Sundaram Clayton Ltd formed as a JV between Sundaram and Clayton group UK). In 1980, TVS 50, India's first two-seater moped was produced in Hosur.","Tube Investments of India Limited (Part of Muruguppa group - eid parry (sugar), coromandel fertilizers, cholamandalam investment & finance - NBFC, chola ms general insurance jv with MS sumitomo of Japan (worlds 5th largest in insurance) etc, Second largest cycle manufacturer in India : BSA/Hercules after unlisted Hero Cycles). Covered in auto : 2 & 3 wheeler. Demerger ... TI Financial holdings (TI FH) for financial stuff like MS Chola etc ... and TI India limited (TI IL) - manufacturing of bycycle, auto parts etc Covered in auto : 2 & 3 wheeler. Present in MISC Category."
,Units,17,5,5,5,2
Auto - Cars & Jeeps,Company,,Maruti Suzuki,Mahindra & Mahindra,,
Auto,Details,,"Maruti Suzuki (Global Auto giant, Share price : 5K)","Mahindra & Mahindra (Diversified Auto Giant, Car, Tractor etc)",,
,Units,30,20,10,,
Auto - LCVs & HCVs,Company,,Tata Motors,Eicher Motors,Ashok Leyland,SML ISUZU
Auto,Details,"Light < 8 ton, Medium (8 to 14 ton),  Heavy > 15 ton",Tata Motors (World leader in automobile),"Eicher Motors (Royal Enfield Bikes, Joint collaboration with Volvo for trucks and buses, Sold tractor business to TAFE - Messey Ferguson assembler in India. TAFE is owned by Amalgmation group. Privately held.) High Share Price: 30K",Ashok Leyland (Hinduja Group Company),"SML ISUZU (Swaraj Mazda Limited & ISUZU Japan : Earlier  Sumitomo Corporation, Punjab Tractors, ISUZU and MAZDA of Japan collaboration etc... Sold Swaraj (Punjab Tractors) to Mahindra. Now it is known as SML ISUZU)."
,Units,35,5,30,0,0
Auto - Tractors,Company,,VSTTILLERS,,,
Auto,Details,,"VST Tillers & Tractors (Collaboration with Mitsubishi) : India's largest (45% market share) in power tillers. Capcacity : 60,000 tillers per annum. 55 % revenue from tillers. 30% from sale of tractors. Factory operating @ 30% utilization. It has idle capacity. Used Ticker to avoid confusion.",,,
,Units,2,2,,,
Auto Ancillaries,Company,Auto,Bosch,Motherson Sumi,Exide Industries,Amara Raja Batteries
Auto,Details,Set -1,Bosch (German Giant. World's largest supplier of automative parts.) : High Share price 23K ,"Motherson Sumi (Flagship company of Samvardhan group. JV with Sumitomo Wiring of Japan, very big auto component company) : 4 major products: wiring harnesses, rear view mirrors, polymers and elastomers. Internal and external auto components. wiring and mirrors. rear view mirror. largest manufacturer and supplier of rear view mirrors.",Exide Industries (UK Based Chloride Eastern Ltd : 45% share) : India moves on Exide. The gap between net sales of Exide and Amaron is negligible. Competitors : Amaron (Amara Raja Batteries & Johnson Controls) and Tata Green (Tata Autocomp tie up with GS Yuasa of Japan).,"Amara Raja Batteries ( automative battery brand : AMARON ) : Lasts long, Really long. 25% Ownership by Johnson controls, USA (world leader in batteries) ."
,PEP,,,,,Jaya Galla (TDP MP)
,Units,24,20,2,1,1
Auto Ancillaries,Company,,WABCO,Gabriel India,Shriram Pistons & Rings,Federal Mogul Goetze
Auto,Details,Set -2 (small companies with profit < 100 cr),Wabco India. WABCO India (Westinghouse Air Brake Company. US auto anciliiary giant : vehicle controls systems like braking etc. Power Brakes etc),"Gabriel India - Shock absrober, closest competitor is Munjal Showa (Japanese major in shock absrober)",Shriram Pistons & Rings,"Federal Mogul (auto parts, powertrain, piston etc)"
,Units,2,2,0,0,0
Auto Ancillaries,Company,,Sundaram Clayton,Endurance ,Varroc,Minda Industries
Auto,Details,Set -3 (small companies with profit < 100 cr),"Sundaram Clayton (Casting for auto industry, parent of TVS group).","Endurance Technologies. aluminium casting, alloy wheel, brake, shock absorber, clutch",Vehicle lighting,"UnoMinda, Security system"
,Units,2,0,2,0,0
Group 2,,,,,,
Banks - Private Sector,Company,,HDFC Bank,ICICI,Axis Bank,Kotak Mahindra Bank
BFSI,Details,Net Interest Income should be compared with profit.,,,,Kotak Mahindra Bank : mcap to net interest income ratio is too high compared to peers but growth rate is good. PEG looks ok. The dividend paid is very less compared to peers.
