INFY,PAYOUT BY INFOSYS LIMITED
STATE BANK ,STATE BANK OF INDIA
TCS,TCS2NDINTDIV031120
HINDUNILVR,HINDUSTAN UNILEVER L
ICICI BANK,ICICI BANK
WIPRO,WIPRO LIMITED
HDFC BANK,HDFC BANK LTD
ITC,ITC LIMITED
TATAMOTORS,TMOTORS-OS FDIV 16
BHARTI AIRTEL,BHARTI AIRTEL LTD
LT,LARSEN & TOUBRO LIMI
ONGC,OIL AND NATURAL GAS
SUNPHARMA,Sun Pharmaceutical I
NTPC,NTPC LIMITED
ASIANPAINT,ASIANPAINTS280619
HCL TECHNOLOGIES,HCL Technologies Lim
POWERGRID,POWER GRID CORPORATI
HDFC,HOUSING AND URBAN DE
COAL,COAL INDIA LTD
VEDANTA,VEDANTA LIMITED
KANSAINER,KANSAI DIV 19-20
RALLIS,RALLISFINDIV070720
JSW STEEL,JSW STEEL LIMITED
APOLLO TYRES,APOLLO TYRES LTD
SUPREME INDUSTRIES,SUPREME INDUSTRIES L
UPL,UPL Limited
ZEEL,Zee Entertainment En
HERO MOTOCORP,HERO MOTOCORP LTD.
ULTRATECH CEMENT,ULTRATECH CEMENT LTD
TATACOFFEE,TATACOF DIV 020720
KOTAK MAHINDRA BANK,KOTAK MAHINDRA BANK
RELIANCE INDUSTRIES,RELIANCE INDUSTRIES
BAJAJ AUTO,BAJAJ AUTO LIMITED
NAUKRI,Info-Edge India Limi
AXIS BANK,AXIS BANK LIMITED
EXIDE INDUSTRIES,EXIDE INDUSTRIES LIM
BATA,BATA INDIA LTD. 2020
SHOPPERS STOP,SHOPPERS STOP LIMITE
CERA SANITARYWARE,CERA SANITARYWARE LI
PIRAMAL ENTERPRISES,Piramal Enterprises
PVR,PVR LIMITED
SKF,SKF INDIA LIMITED
BLUEDART,BLUEDART EXPRESS
VIP INDUSTRIES,VIP Industries Limit
EIH,EIH Ltd.
ACC,ACC LIMITED
EMAMI,EMAMI LTD
COROMANDEL,COROMANDEL INTERNATI
LUPIN,Lupin Limited
M&M,MAHINDRA & MAHINDRA
TRENT,TRENT12082020
BRITANNIA INDUSTRIES,BRITANNIA INDUSTRIES
,DIVIDEND
AMBUJA CEMENTS,Ambuja Cements Limit
CRISIL,CRISIL LIMITED
HSIL,HSIL LTD.
JK TYRE AND INDUSTRI,JK TYRE AND INDUSTRI
ICICIPRULI,ICICI PRUDENTIAL
BALKRISIND,BALKRISHNAINDUSTRIES
ICRA,ICRA Limited
TATACHEM,TCL FINAL09072020
CEATLTD,CEAT DIV.270320
MONSANTO,Monsanto India Limit
TITAN,TITAN FINDIV 19-20
ADANI ENTERPRISES,Adani Enterprises Li
NILKAMAL,Nilkamal Limited
SOBHA,Sobha Limited
VSTTILLERS,VST INT DIV 2019-20
ASAHI GLASS,Asahi India Glass Li
CIPLA,CIPLA LIMITED
NESTLE,NESTLE INDIA LTD.
PAGE INDUSTRIES,Page Industries Limi
AVANTI FEEDS,AVANTI FEEDS LIMITED
DABUR,DABUR INDIA LIMITED
THOMASCOOK,TCOOKFINDIV 270819
BERGER PAINTS ,BERGER PAINTS INDIA
AMARAJABAT,AMARARAJAINT2DIV2020
TATACONSUM,TGBL DIV.08072020
LICHSGFIN,Lic Housing Finance
TTK PRESTIGE,TTK PRESTIGE LIMITED
CARE RATINGS,CARE RATINGS LIMITED
TATA POWER,TATA POWERFINALDIV
MOTHERSUMI,MOTHERSON SUMI SYSTE
GREENLAM INDUSTRIES,Greenlam Industries
INDHOTEL,The Indian Hotels Co
VARUN BEVERAGES,VARUN BEVERAGES LIMI
BAYER,BAYER FINDIV180820
AKZO NOBEL,AKZO NOBEL INDIA LTD
KAJARIA CERAMICS,KAJARIA CERAMICS LIM
CUMMINS,Cummins India Limite
VOLTAS,VOLTASFINDIV1920
JUBLFOOD,Jubliant Foodworks L
INTERGLOBE AVIATION,INTERGLOBE AVIATION
FLFL,Future Lifestyle Fas
PURVA,Puravankara Limited
PIDILITIND,PIDILITEINTDIV1920
INDIAN OIL,INDIAN OIL CORPN LTD
NCC,NCC LIMITED
CENTURY PLYBOARDS,CENTURY PLYBOARDS (I
MARUTI SUZUKI ,MARUTI SUZUKI INDIA
CASTROL,Castrol India Limite
HINDALCO INDUSTRIES,HINDALCO INDUSTRIES
HINDUSTAN PETROLEUM,Hindustan Petroleum
WHIRLPOOL,Whirlpool Of India L
ENGINERSIN,ENGINEERS INDIA LIMI
RELAXO FOOTWEARS,RELAXO FOOTWEARS LIM
APOLLOHOSP,APOLLO HOSPITALS ENT
GAIL,GAIL (INDIA) LTD.
GLENMARK,GLENMARK PHARM
PETRONET LNG,PETRONET LNG LIMITED
BASF,BASF11082020
TALWALKARS,Talwalkars Better Va
BRIGADE,BRIGADE ENTERPRISES
CONTAINER,CONTAINER CORPORATIO
ITDC,ITDC LTD
ZEELEARN,Zee Learn Ltd
DLF,DLF LIMITED
PRESTIGE,Prestige Estates Pro
RECLTD,REC LIMITED
OIL,OIL INDIA LIMITED
COX AND KINGS,COX AND KINGS LTD
RAJESHEXPO,RAJESH EXPO DIV19
NBCC,NBCC (INDIA) LIMITED
UBL,UBL FIN DIV 2019-20
NMDC,NMDC LIMITED
ICICI LOMBARD,ICICI LOMBARD
IBULHSGFIN,IHFL
HINDUSTAN ZINC,HINDUSTAN ZINC LTD
COLPAL,Colgate-Palmolive (I
TIINDIA,TUBE INVESTMENTS OF
TVS MOTOR COMPANY,TVS MOTOR COMPANY L
SRTRANSFIN,STFC
GODREJ CONSUMER PROD,GODREJ CONSUMER PROD
POWER FINANCE,POWER FINANCE CORPOR
GILLETTE,GILLETTE INDIA LIMIT
PGHH,Procter & Gamble Hyg
MARICO,Marico Limited
AUROBINDO PHARMA,AUROBINDO PHARMA LIM
LALPATHLAB,Dr. Lal PathLabs Lim
NIACL,The New India Assura
HDFCLIFE,HDFC LIFE INSURANCE
SIEMENS,Siemens Limited
BSE,BSE LIMITED
MRF,MRF LIMITED
CHOLAHLDNG,TI FINANCIAL HOLDING
AEGIS LOGISTICS,Aegis Logistics Limi
MUTHOOTFIN,Muthoot Finance Limi
BHEL,BHEL
TUBE INVESTMENTS,TUBE INVESTMENTS
BEL,BEL FIN DIV 2019-20
NATIONALUM,NATIONAL ALUMINIUM C
CARBORUNIV,CARBORUNDUM UNIVERSA
BHARAT PETROLEUM,BHARAT PETROLEUM COR
NHPC,NHPC LIMITED
HUDCO,HUDCO LIMITED
NLC,NLC INDIA LIMITED
SBILIFE,SBI LIFE INSURANCE C
PRAXIS,PRAXIS HOME RETAIL L
ABB,ABB INDIA LIMITED
SANOFI,Sanofi India Limited
KSB,KSB Limited
MANAPPURAM,MFL 5TH INTDIVFY1920
TATASTEEL,TATASTEEL FPDIV 20
BAJAJ FINSERV,BAJAJ FINSERV LIMITE
ABBOTT,ABBOTT INDIA LTD
HAVELLS,HAVELLS INDIA LIMITE
CROMPTON GREAVES,CROMPTON GREAVES
BHARTI INFRATEL,BHARTI INFRATEL LIMI
TATAPOWER,TPOWERFDIV 030820
GRINDWELL,GRINDWELL DIV19-20
DRREDDY,DR. REDDY'S LABORATO
VGUARD INDUSTRIES,V-Guard Industries L
MAHINDRA LOGISTICS,Mahindra Logistics L
MHRIL,MAHINDRA HOLIDAYS &
UFLEX,UFLEX LIMITED
TECH MAHINDRA,Tech Mahindra Limite
BLUE STAR,Blue Star Limited
WONDERLA,WONDERLA HOLIDAYS LI
ADANIPORTS,Adani Ports And Spec
EVEREADY INDUSTRIES,EVEREADY INDUSTRIES
GODREJ AGROVET,GODREJ AGROVET LTD
JCHAC,Johnson Controls-Hit
EICHER MOTORS,Eicher Motors Limite
EID PARRY,EID PARRY (INDIA) LI
GODREJ INDUSTRIES,GODREJ INDUSTRIES LI
GSKCONS,GLAXO CONSUMER
CADILA HEALTHCARE,cadila HEALTHCARE
PI INDUSTRIES,PI INDUSTRIES LTD
ALLCARGO,All Cargo Logistics
CDSL,CENTRAL DEPOSITORY
LTI,Larsen & Toubro Info
LTTS,L&T TECHNOLOGY SERVI
HONEYWELL,HONEYWELL FINDIV20
FUTURE SUPPLY CHAIN,Future Supply Chain
BOSCH,BOSCH FIN DIV2019-20
L&TFH,L&T Finance Holdings
GREENPLY INDUSTRIES,GREENPLY INDUSTRIES
KRBL,KRBL LIMITED
ARVIND,Arvind Limited
SOMANY CERAMICS,SOMANY CERAMICS LTD.
ICICI SECURITIES,ICICI SECURITIES
MCX,MCX OF INDIA LTD
GENERAL INSURANCE,GENERAL INSURANCE CO
PFIZER,PFIZER LIMITED
GRASIM INDUSTRIES,GRASIM INDUSTRIES
CHAMBAL FERTILISERS,CHAMBAL FERTILISERS
ASIAN GRANITO ,Asian Granito India
BHARAT DYNAMICS,BHARAT DYNAMICS LTD
GODFREY PHILLIPS IND,Godfrey Phillips Ind
INDRAPRASTHA GAS,INDRAPRASTHA GAS LIM
TALWGYM,Talwalkars Lifestyle
VENKEYS,VENKY'S INDIA LTD
JAIN IRRIGATION SYST,JAIN IRRIGATION SYST
VSTIND,VST INDUSTRIES LIMIT
PC JEWELLER,PC JEWELLER LIMITED
APL,APL FIN DIV 19-20
DISH TV,Dish TV India Limite
COX&KINGS,COX & KINGS LIMITED
HEIDELBERG,HCIL FIN DIV 2019-20
DCM SHRIRAM,DCM SHRIRAM LIMITED
VRLLOG,VRL LOGISTICS LTD
KAVERI SEED COMPANY,KAVERI SEED COMPANY
HAT,HAT 1STINT DIV20-21
IIFL,IIFL Holdings Limite
CHOLAMANDALAM INVEST,CHOLAMANDALAM INVEST
BALRAMCHIN,BALRAMPUR CHINIMILLS
SUNDARMFIN,SFI FIN DIV 2020
HDFCAMC,HDFC AMCL
HAL,HINDUSTANAERONAUTICS
SCHAEFFLER,SCHAEFFLER INDIA LTD
PAPERPROD,HPPL FINAL09072020
ESSEL PROPACK,ESSEL PROPACK LIMITE
BANDHAN BANK,BANDHAN BANK LIMITED
SIS,SIS LTD
TATAELXSI,ELXSI DIV 2019-20
GLAXO,GLAXO PHARMA
CROMPTON,CGCEL
V GUARD INDUSTRIES,V GUARD INDUSTRIES LTD
DELTA,DELTA CORP LIMITED
BAJAJ FINANCE,BAJAJ FINANCE LIMITE
BAJAJ HOLDINGS & INV,BAJAJ HOLDINGS & INV
TATAINVEST,TICL DIV 01082019
BIOCON,BIOCON LIMITED
ZYDUS WELLNESS,ZYDUS WELLNESS LTD
ASHOK LEYLAND,ASHOK LEYLAND LIMITE
CHOLAMANDALAM FINANC,CHOLAMANDALAM FINANC
ENTERTAINMENT NETWOR,ENTERTAINMENT NETWOR
ADANI GAS,Adani Gas Limited
SHREE CEMENT,Shree Cement Limited
ENDURANCE TECHNOLOGI,Endurance Technologi
