Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
540073,BLS,BLS International Services Ltd,26 Apr 2017,Stock  Split From Rs.10/- to Rs.1/-,27 Apr 2017,-,-,20 Apr 2017,26 Apr 2017,-
540361,DANUBE,Danube Industries Ltd,28 Apr 2017,Stock  Split From Rs.10/- to Rs.1/-,02 May 2017,-,-,24 Apr 2017,28 Apr 2017,-
539447,BEARDSELL,Beardsell Ltd,04 May 2017,Stock  Split From Rs.10/- to Rs.2/-,05 May 2017,-,-,28 Apr 2017,04 May 2017,-
505850,MANCREDIT,MANGAL CREDIT AND FINCORP LTD.,17 May 2017,Stock  Split From Rs.10/- to Rs.1/-,18 May 2017,-,-,11 May 2017,17 May 2017,-
540025,ADVENZYMES,Advanced Enzyme Technologies Ltd,25 May 2017,Stock  Split From Rs.10/- to Rs.2/-,26 May 2017,-,-,19 May 2017,25 May 2017,-
509635,HINDCOMPOS,HINDUSTAN COMPOSITES LTD.,25 May 2017,Stock  Split From Rs.10/- to Rs.5/-,26 May 2017,-,-,19 May 2017,25 May 2017,-
532914,ARCOTECH,ARCOTECH LTD.,22 Jun 2017,Stock  Split From Rs.10/- to Rs.2/-,23 Jun 2017,-,-,16 Jun 2017,22 Jun 2017,-
532504,NAVINFLUOR,Navin Fluorine International Limited-$,19 Jul 2017,Stock  Split From Rs.10/- to Rs.2/-,20 Jul 2017,-,-,13 Jul 2017,19 Jul 2017,-
512179,SUNTECK,SUNTECK REALTY LTD.,25 Jul 2017,Stock  Split From Rs.2/- to Rs.1/-,26 Jul 2017,-,-,19 Jul 2017,25 Jul 2017,-
538557,SAIBABA,Sai Baba Investment And Commercial Enterprises Ltd,27 Jul 2017,Stock  Split From Rs.10/- to Rs.1/-,28 Jul 2017,-,-,21 Jul 2017,27 Jul 2017,-
531556,CORALFINAC,CORAL INDIA FINANCE & HOUSING LTD.,03 Aug 2017,Stock  Split From Rs.10/- to Rs.2/-,04 Aug 2017,-,-,28 Jul 2017,03 Aug 2017,-
532610,DWARKESH,DWARIKESH SUGAR INDUSTRIES LTD.,10 Aug 2017,Stock  Split From Rs.10/- to Rs.1/-,-,12 Aug 2017,19 Aug 2017,07 Aug 2017,10 Aug 2017,-
531626,OROSMITHS,OROSIL SMITHS INDIA LTD.-$,24 Aug 2017,Stock  Split From Rs.5/- to Rs.1/-,28 Aug 2017,-,-,18 Aug 2017,24 Aug 2017,-
539807,INFIBEAM,Infibeam Avenues Ltd,31 Aug 2017,Stock  Split From Rs.10/- to Rs.1/-,01 Sep 2017,-,-,24 Aug 2017,31 Aug 2017,-
502137,DECCANCE,DECCAN CEMENTS LTD.-$,11 Sep 2017,Stock  Split From Rs.10/- to Rs.5/-,12 Sep 2017,-,-,05 Sep 2017,11 Sep 2017,-
502219,BOROSIL,BOROSIL GLASS WORKS LTD.,14 Sep 2017,Stock  Split From Rs.10/- to Rs.1/-,15 Sep 2017,-,-,08 Sep 2017,14 Sep 2017,-
505355,NESCO,NESCO LTD.,15 Sep 2017,Stock  Split From Rs.10/- to Rs.2/-,18 Sep 2017,-,-,11 Sep 2017,15 Sep 2017,-
532648,YESBANK,YES BANK LTD.,21 Sep 2017,Stock  Split From Rs.10/- to Rs.2/-,22 Sep 2017,-,-,15 Sep 2017,21 Sep 2017,-
523025,SAFARIND,SAFARI INDUSTRIES (INDIA) LTD.,22 Sep 2017,Stock  Split From Rs.10/- to Rs.2/-,25 Sep 2017,-,-,18 Sep 2017,22 Sep 2017,-
532782,SUTLEJTEX,SUTLEJ TEXTILES & INDUSTRIES LTD.,26 Sep 2017,Stock  Split From Rs.10/- to Rs.1/-,27 Sep 2017,-,-,20 Sep 2017,26 Sep 2017,-
504000,ELPROINTL,ELPRO INTERNATIONAL LTD.,27 Sep 2017,Stock  Split From Rs.2/- to Rs.1/-,28 Sep 2017,-,-,21 Sep 2017,27 Sep 2017,-
532928,TRIL,TRANSFORMERS AND RECTIFIERS (INDIA) LTD.,28 Sep 2017,Stock  Split From Rs.10/- to Rs.1/-,30 Sep 2017,-,-,25 Sep 2017,28 Sep 2017,-
520051,JAMNAAUTO,JAMNA AUTO INDUSTRIES LTD.,05 Oct 2017,Stock  Split From Rs.5/- to Rs.1/-,06 Oct 2017,-,-,28 Sep 2017,05 Oct 2017,-
519552,HERITGFOOD,Heritage Foods Limited,10 Oct 2017,Stock  Split From Rs.10/- to Rs.5/-,11 Oct 2017,-,-,04 Oct 2017,10 Oct 2017,-
511196,CANFINHOME,CAN FIN HOMES LTD.,12 Oct 2017,Stock  Split From Rs.10/- to Rs.2/-,13 Oct 2017,-,-,06 Oct 2017,12 Oct 2017,-
532486,POKARNA,POKARNA LTD.,18 Oct 2017,Stock  Split From Rs.10/- to Rs.2/-,23 Oct 2017,-,-,13 Oct 2017,19 Oct 2017,-
538598,VISHAL,Vishal Fabrics Ltd,24 Oct 2017,Stock  Split From Rs.10/- to Rs.5/-,25 Oct 2017,-,-,16 Oct 2017,24 Oct 2017,-
503811,SIYSIL,SIYARAM SILK MILLS LTD.-$,25 Oct 2017,Stock  Split From Rs.10/- to Rs.2/-,26 Oct 2017,-,-,17 Oct 2017,25 Oct 2017,-
505029,ATLASCYCLE,ATLAS CYCLES (HARYANA) LTD.,30 Oct 2017,Stock  Split From Rs.10/- to Rs.5/-,31 Oct 2017,-,-,24 Oct 2017,30 Oct 2017,-
512453,SHRJAGP,SHRI JAGDAMBA POLYMERS LTD.,01 Nov 2017,Stock  Split From Rs.10/- to Rs.1/-,02 Nov 2017,-,-,26 Oct 2017,01 Nov 2017,-
532514,IGL,INDRAPRASTHA GAS LTD.,09 Nov 2017,Stock  Split From Rs.10/- to Rs.2/-,10 Nov 2017,-,-,03 Nov 2017,09 Nov 2017,-
530621,AAIL,Akar Auto Industries Ltd,29 Nov 2017,Stock  Split From Rs.10/- to Rs.5/-,01 Dec 2017,-,-,24 Nov 2017,29 Nov 2017,-
531963,UNICRSE,UNIVERSAL CREDIT & SECURITIES LTD.,04 Dec 2017,Stock  Split From Rs.5/- to Rs.1/-,05 Dec 2017,-,-,27 Nov 2017,04 Dec 2017,-
539773,ADVIKCA,Advik Capital Ltd,14 Dec 2017,Stock  Split From Rs.10/- to Rs.1/-,15 Dec 2017,-,-,08 Dec 2017,14 Dec 2017,-
513291,PREMPIPES,PREMIER PIPES LTD.,22 Dec 2017,Stock  Split From Rs.10/- to Rs.5/-,26 Dec 2017,-,-,18 Dec 2017,22 Dec 2017,-
531543,JINDWORLD,JINDAL WORLDWIDE LTD.,26 Dec 2017,Stock  Split From Rs.10/- to Rs.5/-,27 Dec 2017,-,-,19 Dec 2017,26 Dec 2017,-
530883,SUCROSA,SUPER CROP SAFE LTD.,04 Jan 2018,Stock  Split From Rs.10/- to Rs.2/-,05 Jan 2018,-,-,29 Dec 2017,04 Jan 2018,-
505729,SINGER,SINGER INDIA LTD.,17 Jan 2018,Stock  Split From Rs.10/- to Rs.2/-,18 Jan 2018,-,-,11 Jan 2018,17 Jan 2018,-
536799,SRSFIN,SRS Finance Ltd,09 Feb 2018,Stock  Split From Rs.10/- to Rs.1/-,12 Feb 2018,-,-,05 Feb 2018,09 Feb 2018,-
