comp_name, isin, plan_1k, demat_1k, tbd_1k, tbd_pct, last_txn_date, days, type, captype, sc_cmp, sc_myavgiv, upside, upl, acp, sc_dp3, sc_d2e, sc_roe3, sc_roce3, sc_sales5, sc_profit5, sc_peg, sc_pledge, comments
Thomas cook,INE332A01027,3,2,1,33,01-Feb-2018,459,Buy,Small Cap,247,10975,4343 %,6.55,234.68,5,0,-16,63,92,159,0,0,dp3 < 6 and roe3 < 4 and cmp + 4343% = myavgiv and Failed
Shoppers stop,INE498B01024,3,2,1,33,01-Feb-2018,459,Buy,Small Cap,459,12538,2631 %,8.55,423.67,82,0,2,5,4,0,0,13,roe3 < 4 and cmp + 2631% = myavgiv and Failed
Tata power co,INE245A01021,3,2,1,33,04-Apr-2018,397,Buy,Mid Cap,67,620,825 %,(20.16),84.92,36,3,5,7,-2,0,0,4,d2e > 2 and sales5 < 0 and cmp + 825% = myavgiv and Failed
Dlf,INE271C01023,3,2,1,33,02-Jan-2018,489,Buy,Large Cap,178,1242,597 %,(17.84),214.27,58,1,1,7,-3,-2,-21,0,roe3 < 4 and sales5 < 0 and profit5 < 0 and cmp + 597% = myavgiv and Failed
Coffee day enterprises,INE335K01011,3,2,1,33,04-Apr-2018,397,Buy,Small Cap,261,409,56 %,(6.14),284.73,0,2,1,7,8,0,0,72,dp3 < 6 and roe3 < 4 and pledge > 25 and cmp + 56% = myavgiv and Failed
Pfizer,INE182A01018,3,2,1,33,19-Sep-2017,594,Buy,Mid Cap,3128,4745,51 %,73.31,1818.32,25,0,13,20,13,12,3,0,cmp + 51% = myavgiv and Failed
Vrl logistics,INE366I01010,3,2,1,33,01-Feb-2018,459,Buy,Small Cap,265,388,46 %,(30.81),395.14,32,0,18,21,8,15,2,0,cmp + 46% = myavgiv and Failed
Rallis,INE613A01020,3,2,1,33,04-Apr-2018,397,Buy,Small Cap,146,204,39 %,(36.55),248.05,29,0,16,21,5,8,2,0,cmp + 39% = myavgiv and Failed
Aditya birla fashion retail,INE647O01011,3,2,1,33,04-Apr-2018,397,Buy,Mid Cap,207,246,18 %,31.07,165.44,0,2,2,8,41,0,0,0,dp3 < 6 and roe3 < 4 and cmp + 18% = myavgiv and Failed
Johnson controls hitachi air conditioning,INE782A01015,3,2,1,33,17-Oct-2017,566,Buy,Small Cap,1854,2037,9 %,(9.80),2106.33,6,0,19,23,19,46,1,0,Passed
-,INE999A01015,3,2,1,33,04-Apr-2018,397,Buy,Micro Cap,668,717,7 %,(8.56),753.41,29,0,11,17,8,4,8,0,peg > 4 and Failed
Supreme industries,INE195A01028,3,2,1,33,04-Apr-2018,397,Buy,Mid Cap,0,0,0 %,(1.85),1205.90,0,0,0,0,0,0,0,0,dp3 < 6 and roe3 < 4 and roce3 < 4 and myavgiv eq 0 and Failed
Sheela foam,INE916U01025,3,2,1,33,02-Feb-2018,458,Buy,Small Cap,1350,1345,0 %,(17.54),1649.36,0,0,30,37,12,35,1,0,dp3 < 6 and Failed
Oil,INE274J01014,3,2,1,33,06-Apr-2018,395,Buy,Mid Cap,0,0,0 %,(20.52),226.03,0,0,0,0,0,0,0,0,dp3 < 6 and roe3 < 4 and roce3 < 4 and myavgiv eq 0 and Failed
Colgate palmolive,INE259A01022,3,2,1,33,04-Apr-2018,397,Buy,Large Cap,1171,1096,-6 %,9.01,1114.49,64,0,54,79,6,6,7,0,peg > 4 and Failed
Hsil,INE415A01038,3,2,1,33,04-Apr-2018,397,Buy,Micro Cap,259,230,-11 %,(35.14),408.49,31,1,7,8,8,-2,-21,0,profit5 < 0 and Failed
Kotak mahindra bank,INE237A01028,3,2,1,33,04-Apr-2018,397,Buy,Large Cap,1418,984,-30 %,29.54,1055.12,2,5,13,8,18,23,2,0,dp3 < 6 and d2e > 2 and Failed
Future retail,INE752P01024,3,2,1,33,01-Feb-2018,459,Buy,Mid Cap,419,279,-33 %,(10.06),470.57,0,0,17,16,66,0,0,48,dp3 < 6 and pledge > 25 and Failed
Trent,INE849A01020,3,2,1,33,04-Apr-2018,397,Buy,Mid Cap,384,248,-35 %,18.45,299.79,33,0,7,10,18,23,4,0,Passed
Future lifestyle fashions,INE452O01016,3,2,1,33,01-Feb-2018,459,Buy,Small Cap,495,317,-35 %,29.80,370.76,19,1,7,11,0,0,0,23,Passed
Apollo tyres,INE438A01022,3,2,1,33,01-Feb-2018,459,Buy,Mid Cap,202,130,-35 %,(19.26),258.84,16,0,14,15,3,4,3,15,Passed
Axis bank,INE238A01034,3,2,1,33,04-Apr-2018,397,Buy,Large Cap,757,110,-85 %,45.55,517.23,15,10,8,6,11,-40,-12,0,d2e > 2 and profit5 < 0 and Failed
