S.No. ,Name ,CMP Rs. ,Sales Rs.Cr. ,NP 12M Rs.Cr. ,P/E ,OPM % ,EPS 12M Rs. ,Dividend Payout % ,Debt / Eq ,Int Coverage ,Div Yld % ,PEG ,CMP / BV ,Avg Div Payout 3Yrs % ,IV Rs. ,EV Rs.Cr. ,Mar Cap Rs.Cr. ,Altman Z Scr ,Current ratio ,ROE 3Yr % ,Graham Price Rs. ,Sales Var 5Yrs % ,Profit Var 5Yrs % ,EV / EBIT Rs. ,Pledged % ,Prom. Hold. % 
1,3M India ,25251.25,2592.45,344.05,82.72,20.19,305.28,0,0.01,272.17,0,1.94,17.39,0,9462.39,27678.31,28458.16,31.45,3.02,22.04,3157.96,10.18,42.7,51.88,0,75
2,A B B ,1463.65,9941.01,459.55,67.49,8.18,21.69,22.2,0.17,9.65,0.3,2.65,8.14,23.43,918.86,30128.45,31015.97,4.93,1.46,11.43,296.28,3.74,25.49,39.31,0,75
3,Abbott India ,8449.45,3445.75,435.39,41.24,16.91,204.89,29.13,0,175.93,0.65,1.73,10.11,29.6,5666.16,16923.73,17955.08,19.07,3.37,23.97,1962.42,14.82,23.86,24.86,0,74.99
4,ACC ,1554.4,14083.57,966.35,30.21,14.03,51.46,53.1,0,15.52,1.68,-5.46,2.94,52.19,-4497.96,26461.11,29189.66,4.66,1.05,8.87,782.64,3.34,-5.53,17.36,0,54.53
5,Adani Enterp. ,148.9,36999.03,533.19,24.89,6.24,4.85,5.81,1.19,1.29,0.27,-4,1.08,4.79,-310.52,32407.08,16376.03,1.25,1.65,6.19,122.69,-4.26,-6.22,16.17,30.78,74.92
6,Adani Ports ,376.05,10988.85,3619.83,20.89,59.28,17.48,11.27,1.06,4.82,0.53,1.09,3.61,8.69,304.61,97114.76,77878.15,3.41,5.77,22.66,202.54,25.92,19.18,15.2,38.3,62.3
7,Adani Transmissi ,181.55,3957.65,1228.18,16.26,72.74,11.17,0,2.48,2.78,0,,4.56,0,,29729.9,19967.05,2.06,2.11,23.46,100.01,,,12.02,37.06,74.92
8,Aditya Bir. Fas. ,190.6,7325.73,143.53,102.48,6.94,1.86,0,1.7,1.43,0,,13.39,0,,16497.7,14709.04,3.23,1.09,0.74,24.41,41.04,,66.47,0.13,59.24
9,Aegis Logistics ,208.1,4951.78,222.25,31.27,5.98,6.65,21.11,0.25,14.3,0.6,0.74,5.49,24.83,78.34,7092.58,6950.54,7.28,1.14,19.8,75.32,3.77,42.47,26.96,0,60.51
10,Akzo Nobel ,1722.75,2786.67,402.74,19.48,10.9,88.44,25.62,0,123.73,1.31,0.72,5.89,61.72,1015.66,7764.26,7845.46,7.11,1.17,24.21,763.05,4.79,27.14,15.93,0,72.96
11,Allcargo Logist. ,112.45,6188.47,164.72,17.49,5.93,6.7,28.68,0.24,8.36,1.78,21.86,1.37,23.12,2343.66,2992.35,2762.84,3.45,1.46,11.29,111.29,9.02,0.8,12.14,0,69.11
12,Amara Raja Batt. ,824.5,6340.37,484.5,29.07,14.36,28.36,15.41,0.02,142.51,0.52,2.9,4.62,15.36,1313.83,14035.74,14083.49,10.02,1.97,20.26,337.57,15.41,10.04,19.01,0,52.06
13,Ambuja Cem. ,226.6,24844.56,2028.48,22.18,16.14,10.22,47.15,0,16.22,1.59,-28.81,2.06,49.74,-4710.23,38787.26,44994.72,3.96,1.1,6.53,159.15,19.34,-0.77,12.18,0,63.11
14,Apollo Hospitals ,1104.85,7481.21,258.14,59.54,11.8,18.56,29.94,0.81,2.52,0.45,-11.98,4.09,27.86,-3557.54,18067.45,15370.67,3.53,1.51,8.43,335.67,16.71,-4.97,29.08,73.6,34.4
15,Apollo Tyres ,230.6,15846.11,887.43,14.86,12.02,15.51,23.71,0.48,8.17,1.3,3.76,1.32,14.47,933.58,17253.43,13191.47,2.2,1.16,13.62,247.32,3,3.95,12.29,12.03,40.4
S.No. ,Name ,CMP Rs. ,Sales Rs.Cr. ,NP 12M Rs.Cr. ,P/E ,OPM % ,EPS 12M Rs. ,Dividend Payout % ,Debt / Eq ,Int Coverage ,Div Yld % ,PEG ,CMP / BV ,Avg Div Payout 3Yrs % ,IV Rs. ,EV Rs.Cr. ,Mar Cap Rs.Cr. ,Altman Z Scr ,Current ratio ,ROE 3Yr % ,Graham Price Rs. ,Sales Var 5Yrs % ,Profit Var 5Yrs % ,EV / EBIT Rs. ,Pledged % ,Prom. Hold. % 
16,Arvind Ltd ,386.15,11292.63,323.37,29.74,8.43,12.5,20.06,0.88,2.51,0.62,3.65,2.6,19.83,729.82,13244.06,9986.5,2.63,2.04,10.31,204.55,15.38,8.15,19.58,10.54,42.92
17,Asahi India Glas ,333.55,2751.22,181.98,43.64,17.55,7.49,20.55,1.28,3.19,0.45,,7.23,18.21,,9464.4,8108.6,3.68,1.56,21.17,88.16,6.25,,23.37,4.38,54.27
18,Asian Granito ,217.65,1168.58,52.08,12.58,11.13,17.3,7.43,0.78,3.1,0.6,0.5,1.5,6.42,138.95,971.33,654.85,2.1,1.83,10.75,238,10.34,25.06,8.95,0,32.49
19,Asian Paints ,1291,17399.6,2228.09,55.58,19.58,23.23,40.93,0.06,93.81,0.67,4.18,13.79,44.41,1553.23,123961.22,123832.44,17.3,1.34,27.66,221.23,9.88,13.3,36.83,12.53,52.79
20,Aurobindo Pharma ,773.85,17071.36,2360.33,19.21,21.33,40.29,6.04,0.41,35.33,0.32,0.37,3.74,6.51,237.78,48848.78,45340.46,4.8,2.56,27.08,433.33,23.02,52.08,15.3,2.09,51.87
21,Avanti Feeds ,413.25,3434.97,407.63,13.9,17.12,29.93,12.21,0.01,226.61,0.97,0.19,5.02,15.51,92.9,5622.86,5630.35,13.4,1.75,47.57,235.48,40.2,71.65,9.12,0,43.78
22,Avenue Super. ,1522.6,15971.53,860.49,110.43,9.12,13.79,0,0.09,30.15,0,2.09,19.42,0,460.59,94905.89,95023.1,62.85,3.53,18.87,155.98,35.81,52.9,69.81,0,81.2
23,Axis Bank ,635.45,46614.06,455.82,393.42,36.25,1.77,0,9.52,1.02,0,-9.89,2.54,18.72,-280.08,730751.01,163236.97,0.58,3.44,7.79,99.77,11.37,-39.78,25.93,0,26.36
24,B H E L ,75.1,29172.52,881.36,31.28,5.91,2.4,82.84,0,7.74,2.42,-0.9,0.84,57.3,-34.64,16380.48,27572.21,2,2.08,0.61,69.41,-10.03,-34.68,8.38,0,63.06
25,B P C L ,334.15,250877.6,9468.04,7.66,5.71,43.65,57.52,0.67,15.08,6.28,0.32,1.96,49.95,226.2,95748.18,72485.58,2.97,0.78,26.94,408.74,-0.32,23.65,6.64,0,53.89
26,Bajaj Auto ,2867.95,27141.84,4423.99,18.76,18.88,152.87,41.15,0.01,4547.78,2.09,2.9,3.87,39.8,7081.09,82317.12,82989.01,12.98,0.8,26.07,1597.31,4.66,6.48,13.12,0,49.3
27,Bajaj Fin. ,2594,13861.33,2900.22,51.69,67.44,50.18,8.74,3.73,1.93,0.15,1.48,8.64,9.79,1187.44,211263.3,149925,2.58,9.02,20.86,582.21,33.86,34.95,22.79,0,55.14
28,Bajaj Finserv ,6412.95,33067.92,3778.33,27,35.5,237.48,1.02,3.07,2.4,0.03,2.3,4.63,1.22,8738.62,163983.52,102052.55,1.13,1.07,15.25,2719.64,30.6,11.74,14.14,0,58.35
29,Bajaj Holdings ,3066.65,795.13,3172.09,10.76,91.52,285,13.97,0,,1.3,0.94,1.54,14.75,4300.23,34044.34,34128.75,356.95,4.94,15.69,3568.48,23.28,11.41,17,0,45.56
30,Balkrishna Inds ,1159.2,4814.91,816.35,27.45,25.92,42.23,20.92,0.2,111.59,0.69,1.89,5.18,15.06,1276.49,23220.2,22409.33,10.04,1.68,18.53,461.09,6.88,14.53,18.51,0,58.3
S.No. ,Name ,CMP Rs. ,Sales Rs.Cr. ,NP 12M Rs.Cr. ,P/E ,OPM % ,EPS 12M Rs. ,Dividend Payout % ,Debt / Eq ,Int Coverage ,Div Yld % ,PEG ,CMP / BV ,Avg Div Payout 3Yrs % ,IV Rs. ,EV Rs.Cr. ,Mar Cap Rs.Cr. ,Altman Z Scr ,Current ratio ,ROE 3Yr % ,Graham Price Rs. ,Sales Var 5Yrs % ,Profit Var 5Yrs % ,EV / EBIT Rs. ,Pledged % ,Prom. Hold. % 
31,Balrampur Chini ,78,4266.81,174.7,10.2,8.77,7.65,25.83,0.62,7.25,3.2,1.71,1.07,15.25,208.78,2762.94,1781.82,2.26,1.85,26.43,111.86,5.81,5.98,9.03,0,40.98
32,Bandhan Bank ,612.8,5205.11,1500.71,48.71,64.93,12.58,8.86,3.64,2.22,0.16,,7.41,,,101738.51,73095.09,2.11,7.73,,152.99,,,24.37,0,82.28
33,BASF India ,1881.65,5704.55,270.27,56.06,6.16,62.43,5.27,0.65,3.77,0.16,47.11,5.95,7.44,47056.48,9004.74,8145.67,3.83,1.65,-2.62,666.33,7.22,1.19,22.38,0,73.33
34,Bata India ,1037.55,2690.49,245.69,54.28,14.5,19.12,23,0,90.17,0.39,10,8.54,23.57,3058.07,12746.88,13335.37,16.99,2.95,15.07,228.6,7.37,5.43,33.58,0,52.96
35,Bayer Crop Sci. ,4355.3,2843.7,335.6,44.56,18.41,97.75,20.59,0,43.98,0.41,61.89,7.77,20.08,96794.22,14535.51,14953.31,16.06,3.09,15.57,1110.61,0.21,0.72,27.77,0,68.69
36,Berger Paints ,302.65,5401.62,482.82,60.87,15.58,4.97,37.93,0.19,30.02,0.59,3.91,12.62,35.18,310.68,29605.58,29388.38,12.44,1.62,23.81,51.79,9.87,15.58,38.54,0,74.99
37,Bharat Electron ,87.65,10699.56,1453.7,14.69,20.07,5.97,34.83,0.01,1578.17,2.28,1.47,2.69,32.86,140.18,20684.7,21356.74,2.46,1.49,17.41,66.16,11.08,10.01,10.24,0,66.01
38,Bharti Airtel ,376.7,81809.8,2045.4,62.62,34.09,5.12,194.23,1.6,1.14,1.42,-7.55,2.15,28.04,-618.8,255244.96,150582.06,1.09,0.62,5.93,142.11,1.69,-8.29,26.7,0,67.14
39,Bharti Infra. ,270.8,6724.8,2467.8,20.15,46.32,13.34,103.84,0,-20.12,5.17,0.9,2.85,81.7,192.17,50056.19,50087.39,15.67,0.59,13.54,169.01,-8.41,22.38,14.94,0,53.51
40,Biocon ,639.85,4319.8,410.8,93.45,20.25,6.85,16.11,0.44,11.56,0.16,-106.19,7.24,14.33,-11638.77,39332.2,38391,7.1,2.17,9.81,116.68,10.66,-0.88,54.02,0,60.67
41,Blue Dart Exp. ,3192.75,2856.97,143.09,52.95,9.05,60.3,20.87,0.27,10.81,0.39,-8.5,11.78,28.93,-8200.03,7515.17,7576.4,10.31,1.66,33.11,606.48,5.2,-6.23,31.96,0,75
42,Blue Star ,656.15,4669.04,162.85,42.88,6.3,16.91,64.32,0.45,7.29,1.52,1.36,6.85,59.97,367.14,6615.14,6319.64,3.06,1.34,20.31,190.95,10.15,31.6,25.19,0,38.81
43,Bosch ,21049.95,12253.95,1499.11,41.2,17.8,491.18,22.27,0,796.61,0.48,4.36,6.17,23.17,34226.83,62358.21,64246.01,13.11,1.96,16.71,6140.26,6.19,9.46,27.96,0,70.49
44,Brigade Enterpr. ,196.9,2041.27,166.26,16.02,29.21,12.22,19.55,1.49,1.94,1.01,0.85,1.14,18.8,165.99,5923.44,2680.33,1.18,1.67,8.32,217.51,18.19,18.87,11.71,0,46.72
45,Britannia Inds. ,6015.5,10194.12,1045.92,69.13,15.32,87.02,29.89,0.06,181.6,0.42,2.11,19.73,29.64,2938.96,72296.01,72281.73,27.36,1.49,38.54,772.58,9.89,32.75,45.45,0,50.7
S.No. ,Name ,CMP Rs. ,Sales Rs.Cr. ,NP 12M Rs.Cr. ,P/E ,OPM % ,EPS 12M Rs. ,Dividend Payout % ,Debt / Eq ,Int Coverage ,Div Yld % ,PEG ,CMP / BV ,Avg Div Payout 3Yrs % ,IV Rs. ,EV Rs.Cr. ,Mar Cap Rs.Cr. ,Altman Z Scr ,Current ratio ,ROE 3Yr % ,Graham Price Rs. ,Sales Var 5Yrs % ,Profit Var 5Yrs % ,EV / EBIT Rs. ,Pledged % ,Prom. Hold. % 
46,BSE ,731.15,665.67,239.08,16.14,41.18,44.44,27.35,0,299.73,4.94,0.54,1.23,40.32,382.54,1965.34,3934.18,2.55,1.4,14.22,769.49,5.05,30,6.76,0,0
47,Cadila Health. ,408.7,12625.4,2097.9,19.94,25.33,20.49,20.18,0.62,27.12,0.86,0.91,4.55,19.5,296.87,45932.16,41840.36,4.08,2.08,27.26,203.61,13.37,22.02,16.22,0,74.79
48,Carborundum Uni. ,387.75,2482.57,243.11,30.14,17.47,12.86,19.72,0.08,43.29,0.58,1.57,4.5,19.42,323,7330.79,7330.34,12.04,3.24,13.76,157.95,3.79,19.2,20.04,0.16,42.41
49,CARE Ratings ,1278.75,332.68,162.41,23.46,63.35,55.05,99.77,0,,4.3,2.6,6.15,76.07,2290.86,3738.18,3767.35,40.35,1.4,30.04,507.47,10.38,9.02,16.15,0,0
50,Castrol India ,155.25,3776,720.9,21.87,28.77,7.29,100.08,0,626.17,4.51,2.52,11.24,85.03,293.55,14571.9,15356.13,13.13,1.73,85.19,47.59,2.81,8.69,12.93,0,51
