comp_name, isin, plan_1k, demat_1k, tbd_1k, tbd_pct, last_txn_date, days, type, captype, sc_cmp, sc_myavgiv, upside, sc_dp3, sc_d2e, sc_roe3, sc_roce3, sc_sales5, sc_profit5, sc_peg, sc_pledge, comments
Castrol,INE172A01027,111,3,108,97,09-Nov-2018,176,Buy,Mid Cap,150,255,70 %,84,0,71,111,4,8,3,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
Glenmark pharmaceuticals,INE935A01035,111,2,109,98,03-Jul-2018,305,Buy,Mid Cap,633,1075,69 %,7,1,23,18,13,5,4,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
Amara raja batteries,INE885A01032,111,2,109,98,03-Jul-2018,305,Buy,Mid Cap,659,736,11 %,15,0,20,29,15,10,2,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
Zee entertainment enterprises,INE256A01028,111,8,103,93,28-Jan-2019,96,Buy,Large Cap,411,532,29 %,19,0,20,25,13,15,2,66, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
Crisil,INE007A01025,111,4,107,96,04-Apr-2018,395,Buy,Mid Cap,1442,2604,80 %,64,0,31,44,10,7,4,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
Vrl logistics,INE366I01010,111,2,109,98,01-Feb-2018,457,Buy,Small Cap,265,388,46 %,32,0,18,21,8,15,2,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
Bosch,INE323A01026,111,23,88,79,12-Mar-2019,53,Buy,Large Cap,18023,20306,12 %,23,0,17,24,6,9,3,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
Pfizer,INE182A01018,111,3,108,97,19-Sep-2017,592,Buy,Mid Cap,3128,4745,51 %,25,0,13,20,13,12,3,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
Wabco,INE342J01019,111,7,104,94,07-Sep-2018,239,Buy,Mid Cap,6313,7435,17 %,6,0,18,26,22,15,3,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
Godrej agrovet,INE850D01014,111,2,109,98,09-Nov-2018,176,Buy,Mid Cap,519,638,22 %,29,0,21,21,13,18,2,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
Eih,INE230A01023,111,3,108,97,02-Jan-2019,122,Buy,Mid Cap,188,224,19 %,42,0,6,9,2,24,2,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
