comp_name, isin, plan_1k, demat_1k, tbd_1k, tbd_pct, last_txn_date, days, type, captype, sc_cmp, sc_myavgiv, upside, upl, acp, sc_dp3, sc_d2e, sc_roe3, sc_roce3, sc_sales5, sc_profit5, sc_peg, sc_pledge, comments
Thomas cook,INE332A01027,3,2,1,33,01-Feb-2018,459,Buy,Small Cap,247,10975,4343 %,6.55,234.68,5,0,-16,63,92,159,0,0,dp3 < 6 and roe3 < 4 and cmp + 4343% = myavgiv and Failed
Shoppers stop,INE498B01024,3,2,1,33,01-Feb-2018,459,Buy,Small Cap,459,12538,2631 %,8.55,423.67,82,0,2,5,4,0,0,13,roe3 < 4 and cmp + 2631% = myavgiv and Failed
Jain irrigation systems,INE175A01038,3,2,1,33,09-Nov-2018,178,Buy,Small Cap,52,887,1605 %,(37.08),94.01,31,1,4,9,10,0,0,48,pledge > 25 and cmp + 1605% = myavgiv and Failed
Housing urban development corporation,INE031A01017,3,2,1,33,03-Jul-2018,307,Buy,Mid Cap,41,550,1241 %,(38.34),69.58,13,4,9,9,7,3,2,0,d2e > 2 and cmp + 1241% = myavgiv and Failed
Tata power co,INE245A01021,3,2,1,33,04-Apr-2018,397,Buy,Mid Cap,67,620,825 %,(20.16),84.92,36,3,5,7,-2,0,0,4,d2e > 2 and sales5 < 0 and cmp + 825% = myavgiv and Failed
Dlf,INE271C01023,3,2,1,33,02-Jan-2018,489,Buy,Large Cap,178,1242,597 %,(17.84),214.27,58,1,1,7,-3,-2,-21,0,roe3 < 4 and sales5 < 0 and profit5 < 0 and cmp + 597% = myavgiv and Failed
Balrampur chini mills,INE119A01028,3,2,1,33,02-Jan-2019,124,Buy,Micro Cap,157,769,389 %,7.26,131.55,13,1,26,17,6,6,2,0,cmp + 389% = myavgiv and Failed
Nhpc,INE848E01016,3,2,1,33,09-Nov-2018,178,Buy,Mid Cap,24,113,370 %,(13.26),26.92,69,1,9,9,6,5,2,0,cmp + 370% = myavgiv and Failed
Ashok leyland,INE208A01029,3,1,2,67,29-Oct-2018,189,Buy,Large Cap,90,377,318 %,(21.98),116.96,50,0,22,25,16,57,0,7,cmp + 318% = myavgiv and Failed
Zee learn,INE565L01011,3,4,-1,-33,28-Jan-2019,98,Buy,Nano Cap,26,96,269 %,(28.78),37.49,5,1,12,10,22,0,0,83,dp3 < 6 and pledge > 25 and cmp + 269% = myavgiv and tbd_units le 0 and Failed
Info edge,INE663F01024,3,3,0,0,03-Jul-2018,307,Buy,Mid Cap,1987,7007,252 %,74.12,1156.62,-64,0,7,11,16,21,5,0,dp3 < 6 and peg > 4 and cmp + 252% = myavgiv and tbd_units le 0 and Failed
Bse,INE118H01025,3,4,-1,-33,08-Oct-2018,210,Buy,Small Cap,634,1970,210 %,(24.50),818.30,52,0,14,16,5,30,1,0,cmp + 210% = myavgiv and tbd_units le 0 and Failed
Eid parry,INE126A01031,3,3,0,0,02-Jan-2019,124,Buy,Small Cap,192,530,176 %,(28.76),281.37,11,2,11,16,6,8,25,0,peg > 4 and cmp + 176% = myavgiv and tbd_units le 0 and Failed
Tata chemicals,INE092A01019,3,3,0,0,04-Apr-2018,397,Buy,Mid Cap,557,1522,173 %,(16.17),695.15,28,1,13,12,-7,20,0,0,sales5 < 0 and cmp + 173% = myavgiv and tbd_units le 0 and Failed
Nlc,INE589A01014,3,2,1,33,26-Oct-2018,192,Buy,Mid Cap,65,169,160 %,(24.31),89.97,102,1,15,17,9,7,1,0,cmp + 160% = myavgiv and Failed
Mahindra cie automotive,INE536H01010,3,1,2,67,28-May-2018,343,Buy,Small Cap,222,550,147 %,(7.22),243.74,0,0,10,12,25,0,0,0,dp3 < 6 and cmp + 147% = myavgiv and Failed
